day,A,E,H,I,R,S,V,R_t
0.0,3.9809284,15.857876,0.0,7.9586062,0.038265612,11515.989,9.0189495,2.866928581909246
1.0,3.8559792,12.138868,0.43558308,9.527395,4.481737,11494.958,15.941893,2.864545348682339
2.0,3.5029597,9.757842,0.8392725,9.950375,8.099143,11489.272,31.421211,2.8602775351696255
3.0,3.0764031,8.288867,1.4053696,9.81784,10.935437,11491.448,25.500507,2.8614063496156374
4.0,2.7109127,7.2242765,1.898337,9.384267,15.514743,11474.639,41.47232,2.856634358539496
5.0,2.371287,6.474697,2.0187774,8.9028425,17.75209,11458.991,40.06265,2.8567620956090467
6.0,2.1068692,5.9383082,2.8292055,8.293297,20.844387,11437.958,58.9568,2.8514311248627395
7.0,1.8813565,5.456507,3.1688137,7.708342,23.621927,11429.855,76.03575,2.846745970701042
8.0,1.699541,5.0213037,3.556659,7.168913,25.761328,11425.461,84.175186,2.844391379142525
9.0,1.5515897,4.6710396,3.8528697,6.6968546,27.11485,11405.878,102.413895,2.839679567462687
10.0,1.4160913,4.367356,3.9463303,6.1816297,29.73975,11396.512,110.68067,2.837184491859111
11.0,1.3089516,4.112316,4.263934,5.744147,30.50825,11396.742,110.16448,2.837241690658835
12.0,1.2133952,3.8762383,4.341638,5.3709817,32.14282,11403.991,99.15918,2.8397220136327497
13.0,1.1418984,3.628231,4.647478,5.017694,33.663414,11365.242,139.5033,2.8293997196700182
14.0,1.0609188,3.4732754,5.23479,4.6927443,35.27011,11356.703,146.40956,2.827273823087148
15.0,1.0000226,3.268287,5.3154316,4.416986,36.453846,11327.76,174.62984,2.820068401600723
16.0,0.957457,3.1832356,5.465557,4.1711955,36.8927,11339.136,152.72327,2.82542316855784
17.0,0.9112025,2.996485,5.5740013,3.9118533,38.513,11319.651,181.28633,2.81804978373564
18.0,0.84770566,2.8705928,5.869692,3.69112,39.548588,11323.359,176.65672,2.8189730082317763
19.0,0.82312816,2.7213748,5.769128,3.5200849,39.921352,11306.588,193.50081,2.8147977205866384
20.0,0.78246874,2.6501687,5.886453,3.4070225,41.210873,11286.781,212.12611,2.8098666760923035
21.0,0.7446574,2.5462284,6.666615,3.2102122,42.198353,11281.894,200.11731,2.812415250910233
22.0,0.7219533,2.4611654,6.3988094,3.0805473,42.72561,11278.295,217.15384,2.8082419678692743
23.0,0.6993761,2.3851414,6.752457,2.9444606,43.24615,11265.348,223.94527,2.806358393398609
24.0,0.6681709,2.3633645,6.5464735,2.8364265,43.550285,11252.007,237.51517,2.802994651316162
25.0,0.65424925,2.2671256,7.0588765,2.7794383,43.294632,11232.607,264.1821,2.796380116555663
26.0,0.63756853,2.2907164,7.1416535,2.6676068,43.878952,11236.158,260.06915,2.797264087889123
27.0,0.60531104,2.1915247,7.270433,2.5790153,43.999287,11222.247,272.89133,2.7940572169862934
28.0,0.61019,2.1462922,7.3100467,2.4772081,44.545578,11202.379,293.37555,2.788854684251899
29.0,0.5986282,2.114913,7.9257765,2.4043412,44.52584,11181.664,313.60986,2.7836977655324096
30.0,0.58602536,2.109164,7.5702467,2.375947,45.8929,11199.266,295.04376,2.788079651198468
31.0,0.5674105,2.098568,7.6114564,2.3309646,45.051247,11160.931,334.25378,2.7785359834055123
32.0,0.56806517,2.0781822,7.9309607,2.2743857,46.012024,11160.805,327.7042,2.7798211852902592
33.0,0.54848284,1.9964614,7.8425226,2.2585826,45.629555,11154.929,339.6396,2.7770418312920384
34.0,0.5642962,2.0184093,8.07068,2.2469747,47.007477,11148.996,343.93942,2.775565026398227
35.0,0.5522759,2.013292,8.156508,2.1868262,47.54548,11115.277,360.96487,2.77104360607369
36.0,0.5542602,2.0163527,8.698435,2.201538,47.30449,11127.492,364.5759,2.770211632002928
37.0,0.5527219,1.995182,7.855346,2.197654,47.42259,11114.153,378.66663,2.7668908272375887
38.0,0.5522205,1.961773,8.497806,2.1649895,47.50197,11116.586,373.96613,2.767882790729736
39.0,0.53867733,2.007751,8.451847,2.075174,47.012527,11085.07,398.67838,2.7618041769887003
40.0,0.56495506,2.0349379,8.3388195,2.175888,47.299213,11081.588,385.53497,2.7648400417645043
41.0,0.52809125,2.0396874,8.851016,2.1287491,47.771107,11084.495,407.03024,2.759507221315617
42.0,0.53004116,2.0440784,8.56779,2.130436,48.185436,11060.374,431.01196,2.7535022846188766
43.0,0.5494066,2.0378149,8.930122,2.2529826,47.8867,11051.805,434.38004,2.752560703722078
44.0,0.53744495,2.068647,8.9645195,2.1161747,48.34506,11034.266,456.54562,2.7470027069395857
45.0,0.53824615,1.9925439,8.943283,2.1289597,47.840244,11046.722,444.67966,2.7501033049526464
46.0,0.53619313,2.0097733,8.955414,2.142892,49.45297,11014.914,446.20505,2.748996824329676
47.0,0.5392445,2.01677,9.306819,2.1677864,49.235184,11015.953,473.6244,2.7424437197330294
48.0,0.5566909,2.0626388,9.602808,2.1420574,49.170372,11010.588,478.7217,2.7411078321886064
49.0,0.55332273,2.0772438,9.717309,2.1610909,49.520256,10983.8545,482.15375,2.739861315490765
50.0,0.5599906,2.0199995,9.617151,2.2190504,49.571312,10995.979,492.8784,2.7374707425156917
51.0,0.5458804,2.1087155,9.49523,2.1724358,50.618458,10971.335,492.67413,2.736996573872119
52.0,0.5569752,2.0979958,9.980524,2.1521213,49.209312,10975.498,513.3481,2.7323724077837617
53.0,0.5686418,2.0912373,9.796916,2.195272,49.98548,10954.788,512.33844,2.7322017177894393
54.0,0.5763056,2.1208353,10.122963,2.195908,49.99508,10946.13,540.29285,2.7253935929193105
55.0,0.5644067,2.1589391,10.328897,2.2541492,50.393425,10942.673,544.47064,2.7242004496838184
56.0,0.5753881,2.1663802,10.16196,2.2412665,51.517593,10916.208,569.97345,2.717611800824068
57.0,0.5819614,2.220719,10.183278,2.2438056,50.721924,10920.15,566.13165,2.7187368903670897
58.0,0.57535434,2.216912,10.781956,2.2383358,50.55267,10889.257,582.8005,2.714290522863552
59.0,0.58555466,2.2082117,10.82697,2.296202,51.116436,10865.465,604.1725,2.7087713185357636
60.0,0.58196056,2.2181106,10.451179,2.2291362,51.430626,10881.648,604.28467,2.709008109839821
