week,S,I,Q,R,R_t
0.0,1104.1698,0.87780905,0.008851032,0.0,1.880817811492256
1.0,1103.7722,1.4695113,0.060509294,0.0,1.8797225053440074
2.0,1102.1757,1.7641666,0.117656,0.0,1.879119773847896
3.0,1103.5667,1.9141619,0.13886666,2.15707,1.8751743520686635
4.0,1103.1741,2.226043,0.14220953,0.1540513,1.87803417955651
5.0,1100.9656,2.8209112,0.26139507,0.88316524,1.875572667265241
6.0,1101.281,3.3128386,0.317769,4.8259134,1.8679842433272993
7.0,1098.9675,3.926054,0.4107138,3.1618185,1.8695714791384384
8.0,1097.1218,4.7363696,0.47227305,5.2763267,1.8645093925464813
9.0,1095.635,5.7702966,0.6026907,5.999224,1.861309707730716
10.0,1093.636,6.8670025,0.72152495,7.141077,1.8573129625441982
11.0,1089.4539,8.149438,0.80912745,12.078423,1.8466695595128195
12.0,1083.9696,9.611539,1.0385271,14.065408,1.8403661387952785
13.0,1079.0499,11.204045,1.205639,14.058275,1.8372620235707964
14.0,1073.1398,13.850049,1.4974886,19.621342,1.8229269988684877
15.0,1067.8463,15.935698,1.7345122,22.864428,1.8134894423795453
16.0,1060.8783,19.025509,2.0561821,25.47515,1.8031945997395733
17.0,1049.0232,22.404472,2.5007546,34.229324,1.781881571923593
18.0,1038.3658,25.885273,2.9288704,39.046234,1.7668585299337256
19.0,1027.6945,30.307463,3.3542325,45.711678,1.7473709664916552
20.0,1013.1626,35.156467,3.9730108,52.772396,1.7257856933916755
21.0,997.0964,40.538788,4.668267,67.79612,1.6907155346980058
22.0,978.5518,46.006516,5.4487715,79.063255,1.6608104210860275
23.0,959.5139,52.190083,6.295011,89.22419,1.631215851080537
24.0,936.52075,58.540005,7.1767063,105.1534,1.5918854113103094
25.0,911.75433,65.074135,8.192443,123.968216,1.5475542418728454
26.0,887.18976,71.27806,9.261625,141.13559,1.506028403564411
27.0,858.3088,77.85483,10.37701,162.25073,1.4570989906917144
28.0,828.4293,83.718956,11.594464,183.3031,1.4085919067365917
29.0,798.91895,88.589874,12.795781,204.42934,1.3612577220352542
30.0,770.9342,92.8749,13.874727,231.51933,1.3082825428849152
31.0,739.58514,96.16681,14.9740505,256.01785,1.257871829804985
32.0,709.08527,98.112144,16.014038,282.61066,1.207003491025351
33.0,680.1774,99.06235,16.85216,311.607,1.155834921928041
34.0,649.7137,98.55797,17.659086,338.67737,1.1071567694339626
35.0,627.7589,97.00653,18.33135,367.573,1.0639060020290045
36.0,600.8983,94.55176,18.77505,393.8248,1.0207913739567867
37.0,577.3661,91.01724,19.007246,419.86038,0.9815231317768214
38.0,554.7405,86.8932,19.179733,445.97217,0.9434560967529979
39.0,535.8273,82.19503,19.11133,469.5198,0.9113989165062738
40.0,517.4813,77.23579,18.928537,492.74545,0.8804026447846925
41.0,502.95865,71.89181,18.52269,513.8852,0.8550246843380594
42.0,488.26352,66.74536,18.075903,533.53375,0.8305230089874694
43.0,474.81616,61.34743,17.505527,556.1329,0.8053326829671285
44.0,464.33954,56.30884,16.832487,569.77405,0.7893750232709934
45.0,454.22928,51.32433,16.124277,587.27747,0.7710035818913944
46.0,442.55972,46.336647,15.250816,600.7293,0.7539689895753485
47.0,434.0647,42.10662,14.505856,617.0228,0.737611436804627
48.0,427.3132,38.108234,13.647205,626.7245,0.7273907193080034
49.0,421.8158,33.979244,12.764437,639.1418,0.7167959134024302
50.0,414.76675,30.83946,11.928557,650.1963,0.7047984438366819
51.0,410.71994,27.227343,11.059142,660.761,0.696641195613877
52.0,405.08273,24.392807,10.246681,668.871,0.6878074190172503
53.0,402.21503,21.688883,9.443331,675.067,0.6830484665907879
54.0,397.90848,19.295622,8.811408,681.835,0.6760788573108295
55.0,395.25034,17.144388,8.01913,686.0335,0.6724141157858465
56.0,392.9239,15.294146,7.370403,692.6605,0.6673696213405964
57.0,388.75104,13.612241,6.698202,698.0802,0.6609425204310129
58.0,387.64145,12.031679,6.082323,701.3321,0.6590882603133297
59.0,385.23746,10.429544,5.555115,705.57764,0.6551711811053604
60.0,384.87927,9.317517,5.078391,709.65533,0.6533043058302797
61.0,385.87762,8.612693,4.580437,712.04626,0.653710000041619
62.0,380.444,7.379552,4.121374,712.9916,0.6481100412965142
63.0,380.1956,6.409435,3.7309034,717.1815,0.6461774953170515
64.0,378.21362,5.74953,3.384616,718.81494,0.6435962219321956
65.0,378.67297,5.019069,3.051028,721.67706,0.643065537962286
66.0,377.9678,4.40466,2.7950635,724.15125,0.6413480474492889
67.0,377.52234,4.02469,2.4709287,725.5471,0.6404499675638337
68.0,377.68497,3.6511405,2.2208781,725.16614,0.6412124200375603
69.0,375.67087,3.0315142,1.9727259,726.0939,0.6389191008995843
70.0,376.28897,2.626648,1.735331,726.68524,0.6396425220043591
71.0,375.63043,2.3061829,1.6205465,729.39984,0.6375898492331147
72.0,375.1875,2.016276,1.4173051,729.7481,0.6371757638696639
73.0,374.55905,1.7358633,1.2886348,727.245,0.6381470153774819
74.0,374.86633,1.4995413,1.1218399,730.3191,0.6369535185424351
75.0,373.8564,1.4183437,1.0522206,732.17346,0.6348400230324664
76.0,374.84482,1.1301059,0.9069693,731.2168,0.6367491913038793
77.0,372.45706,1.0545956,0.7953386,729.75006,0.6350092139541215
78.0,374.87988,0.96695536,0.688095,733.8435,0.6355013059645785
79.0,372.5925,0.75783485,0.6076157,732.178,0.6340462533922269
80.0,372.34296,0.74095184,0.59928405,733.6939,0.6329114262142794
81.0,372.37354,0.5713265,0.4723793,734.8602,0.6324491818234224
82.0,372.29123,0.7002703,0.43007043,734.1796,0.6326954638008622
83.0,373.38535,0.539269,0.4192453,733.50287,0.6344142383586018
84.0,372.40552,0.3118085,0.36568713,732.5491,0.6340168579005471
