week,S,I,D,R_t
0.0,2877.707,9.92043,0.0,11.374544189604604
1.0,2818.0203,58.848293,0.0,11.138623439177039
2.0,2059.824,789.96204,0.0,8.141745880317192
3.0,2198.0903,1761.2723,0.0,8.688262846993263
4.0,214.08119,3840.1594,0.0,0.8461861824938058
5.0,187.17058,3872.965,0.0,0.739818203719507
6.0,157.71312,3883.2036,0.0,0.6233834054620258
7.0,161.26491,3878.58,0.0,0.6374223510589924
8.0,147.83333,3912.3616,0.0,0.5843321296194807
9.0,144.13065,3916.9536,0.0,0.5696967573861157
10.0,114.049675,3927.5005,0.0,0.45079746699605394
11.0,107.08651,3946.5166,0.0,0.4232745838746556
12.0,129.9943,3942.2534,0.0,0.5138208137887547
13.0,84.22115,3962.1997,0.0,0.33289601711563277
14.0,104.5022,3970.0637,0.0,0.4130597013922545
15.0,88.18671,3979.87,0.0,0.348570432852353
16.0,86.46478,3977.8213,0.0,0.34176429486574805
17.0,56.761875,3985.4688,0.0,0.22435933766116947
18.0,73.090836,4009.5322,0.0,0.28890186262862055
19.0,76.11125,3996.2612,0.0,0.3008404849817467
20.0,40.090916,4040.6045,0.0,0.15846500742004316
21.0,59.91982,3980.8843,0.0,0.23684156101003667
22.0,30.730152,3999.4517,0.0,0.12146526823485065
23.0,47.931137,3999.8496,0.0,0.18945459301430934
24.0,17.866352,4017.1458,0.0,0.07061928360760397
25.0,25.244999,4015.106,0.0,0.0997844279173072
26.0,21.420448,4041.7554,0.0,0.08466735076663946
27.0,28.488308,4045.2983,0.0,0.11260406542619862
28.0,26.29362,4027.064,0.0,0.10392924762740449
29.0,28.371864,4030.0823,0.0,0.11214380549757104
30.0,10.997742,4038.708,0.0,0.04347013102993773
31.0,11.6460705,4055.2163,0.0,0.046032740326175624
32.0,18.71096,4053.8298,0.0,0.07395771666126598
33.0,16.270796,4052.0095,0.0,0.06431262117509198
34.0,0.675734,4015.6582,0.0,0.002670934118532848
35.0,23.570965,4060.2686,0.0,0.09316757135516249
36.0,11.272073,4043.427,0.0,0.04455446157997915
37.0,5.040982,4055.004,0.0,0.019925193238251423
38.0,22.74598,4068.273,0.0,0.08990669761241352
39.0,3.4728682,4058.56,0.0,0.01372700263980885
40.0,2.8053942,4066.0432,0.0,0.011088717149783997
41.0,0.968178,4055.275,0.0,0.0038268603433393696
42.0,31.020569,4031.176,0.0,0.12261318467410579
43.0,6.0953436,4062.6672,0.0,0.024092707419278336
44.0,0.0,4040.6416,0.0,0.0
45.0,0.0,4056.7588,0.0,0.0
46.0,6.860025,4020.3452,0.0,0.02711521853854474
47.0,3.4698353,4077.2317,0.0,0.013715014583805406
48.0,7.9217815,4058.4287,0.0,0.03131196167522966
49.0,3.9462767,4055.5605,0.0,0.015598216520282303
50.0,10.974487,4070.3145,0.0,0.04337821286262321
51.0,10.498257,4041.8464,0.0,0.04149584399284491
52.0,0.0,4064.9849,0.0,0.0
53.0,7.616309,4041.1821,0.0,0.030104538923400218
54.0,0.0,4074.6873,0.0,0.0
55.0,3.5652742,4034.1318,0.0,0.014092250557249214
56.0,8.568921,4073.4607,0.0,0.0338698722491004
57.0,6.69894,4032.8267,0.0,0.026478506789608648
58.0,27.822071,4033.7065,0.0,0.1099706699623186
59.0,22.212282,4045.683,0.0,0.08779718424813135
60.0,20.489614,4041.2969,0.0,0.08098809848704477
61.0,15.090514,4038.371,0.0,0.05964739204728872
62.0,6.741718,4040.8145,0.0,0.026647592943241382
63.0,8.618509,4016.7751,0.0,0.034065876634922644
64.0,2.006813,4051.5117,0.0,0.007932212340484895
65.0,1.7925305,4064.5276,0.0,0.00708523040966139
66.0,0.0,4071.662,0.0,0.0
67.0,12.595358,4047.8596,0.0,0.04978493400366607
68.0,0.0,4060.2686,0.0,0.0
69.0,2.1537032,4079.3833,0.0,0.008512816952846291
70.0,5.4020853,4035.1133,0.0,0.021352506019131003
71.0,24.886662,4054.5479,0.0,0.09836804489615308
72.0,0.0,4066.4832,0.0,0.0
73.0,0.0,4060.4297,0.0,0.0
74.0,5.2131357,4047.6218,0.0,0.020605656067130253
75.0,0.0,4062.9756,0.0,0.0
76.0,4.7385674,4043.2048,0.0,0.018729857492650298
77.0,7.147001,4074.4402,0.0,0.028249531205888544
78.0,8.132477,4046.3433,0.0,0.03214476450923813
79.0,6.9065795,4050.4854,0.0,0.02729923204121409
80.0,0.0,4033.4546,0.0,0.0
81.0,0.0,4062.5596,0.0,0.0
82.0,0.0,4045.0498,0.0,0.0
83.0,3.795183,4066.8787,0.0,0.015000997221861956
84.0,13.601574,4071.2227,0.0,0.053762144274522354
85.0,0.8390936,4039.4214,0.0,0.00331663620267993
86.0,1.0244552,4032.6738,0.0,0.004049303995116978
87.0,0.0,4069.6133,0.0,0.0
88.0,0.0,4054.0781,0.0,0.0
89.0,5.302339,4070.1196,0.0,0.020958244951767045
90.0,22.928288,4056.6448,0.0,0.09062729842426141
91.0,9.34549,4072.0796,0.0,0.036939373183591966
92.0,4.632911,4053.7788,0.0,0.0183122366318597
93.0,17.20077,4033.5144,0.0,0.0679884728650975
94.0,7.499388,4059.4644,0.0,0.029642392343708728
95.0,0.45723927,4053.4028,0.0,0.0018073028690697632
96.0,5.1878066,4067.4282,0.0,0.020505538695248113
97.0,0.21732537,4042.4722,0.0,0.0008590092724232326
98.0,13.571976,4036.5713,0.0,0.05364515494597731
99.0,3.3413267,4058.205,0.0,0.013207066298446037
100.0,12.1311455,4079.6218,0.0,0.0479500678411448
101.0,4.375432,4044.6167,0.0,0.01729451372259963
102.0,2.6460996,4082.4438,0.0,0.010459082698280006
103.0,3.540135,4064.2344,0.0,0.013992883793544329
104.0,38.98616,4055.5767,0.0,0.1540983035981598
105.0,19.668526,4042.9102,0.0,0.07774263082397492
106.0,15.978252,4042.202,0.0,0.06315630103412803
107.0,0.0,4056.0251,0.0,0.0
108.0,0.0,4033.8022,0.0,0.0
109.0,0.0,4061.7183,0.0,0.0
110.0,4.56465,4049.877,0.0,0.018042424798020602
111.0,0.0,4046.9097,0.0,0.0
