week,S,I,C,Q,E,R_t
0.0,2566.9678,0.0,0.0,0.17070556,12.915955,13.296842255575735
1.0,2560.6873,7.353758,0.0,0.46906775,16.901802,13.236823205180865
2.0,2538.2935,18.477423,0.0,0.9291089,29.679716,13.111084970101551
3.0,2492.6206,38.846577,0.19450735,0.7991353,53.984974,12.879819237784485
4.0,2421.3865,73.26976,3.8926926,1.5475355,86.871445,12.509214511527901
5.0,2337.9226,124.13643,0.77043563,3.6877522,122.43344,12.068778725944634
6.0,2243.3816,187.28506,0.71124786,5.7123814,146.11142,11.606514067729576
7.0,2165.6582,257.33807,2.3976767,10.639984,151.01703,11.187727998653797
8.0,2103.1802,326.51822,1.5075762,14.200931,141.47125,10.865694123789352
9.0,2049.3765,387.43478,3.4709258,19.389908,124.04233,10.600691744623328
10.0,2020.2491,436.24423,3.0735917,25.523373,105.8842,10.420744665294485
11.0,1988.4723,472.24243,4.354278,31.470055,88.90236,10.278785690415088
12.0,1963.8018,503.65552,4.721502,37.4943,74.423775,10.156541005048446
13.0,1947.665,526.0619,6.58008,43.729454,62.870403,10.062142049903223
14.0,1928.1613,544.2494,9.400917,50.200314,55.10188,9.960583850287895
15.0,1913.0989,557.8528,7.646665,55.753716,47.971302,9.901107244955497
16.0,1900.194,566.84894,8.142088,60.90248,42.793858,9.8474445871433
17.0,1889.756,576.46106,10.165805,66.00949,39.21417,9.783013454195556
18.0,1883.686,584.3139,13.922734,72.25664,36.548096,9.717258759380186
19.0,1870.5862,588.0993,16.936045,76.377754,34.14026,9.66680005318291
20.0,1868.2998,592.22656,14.545511,79.95554,33.321903,9.646741670451142
21.0,1861.8234,593.839,19.036104,83.9355,31.646755,9.606133390181524
22.0,1851.3278,597.58075,18.600414,87.351585,30.440445,9.570379856956807
23.0,1840.8408,600.6903,19.461218,90.70698,29.705317,9.53053144742943
24.0,1835.4191,603.15436,20.339937,94.36583,28.963068,9.499379185060262
25.0,1836.8499,604.2678,24.339863,97.09444,28.312527,9.475146340258238
26.0,1828.3584,605.4221,23.689781,99.689896,28.70301,9.44958538180347
27.0,1822.4911,604.99255,23.55397,102.77661,27.788084,9.434807458948539
