week,S,I,P,D,E,R,Q,W,H,A,R_t
0.0,2492.764,2.9385712,0.0,0.0,7.673718,0.0,0.016828695,0.018597776,0.1711266,2.5033133,17.809799851490837
1.0,2457.1082,10.67531,0.0,0.0,30.38599,10.83152,0.014130812,0.07090309,2.757316,2.2425513,17.555054589068902
2.0,2362.5574,31.873192,0.0,0.0,96.99094,5.484939,0.039793313,1.0660521,1.5804412,2.0164824,16.879526041824654
3.0,2091.2454,102.306625,0.0,0.0,283.51822,21.77509,0.10312715,2.95918,4.9091816,1.8194364,14.941109527583809
4.0,1538.7692,270.6928,0.0,0.0,607.9517,66.106316,0.338701,8.378996,15.885803,1.6340005,10.993889069036356
5.0,965.348,521.4783,0.0,0.0,809.072,161.32234,0.8319273,20.299751,42.78174,1.460345,6.897024923267324
6.0,622.6844,740.0701,0.0,0.0,734.7523,322.11545,1.6346124,37.342247,81.94746,1.3214797,4.448830540159115
7.0,409.22644,846.8424,0.0,0.0,600.942,509.63507,2.55166,54.981453,130.08862,1.1868984,2.9237588875415494
8.0,246.39316,859.94995,0.0,0.0,470.06982,728.54047,3.4802406,69.05356,185.67194,1.0627532,1.7603804241497982
9.0,147.6549,809.81305,0.0,0.0,357.60782,943.5576,4.323633,78.39749,236.44514,0.9626018,1.0549352286985776
10.0,86.50464,726.8867,0.0,0.0,264.52817,1126.0448,5.009596,82.931244,284.65942,0.8664547,0.6180409812317547
11.0,52.53634,624.8075,0.0,0.0,185.21124,1303.6759,5.5170593,82.24691,329.39514,0.7795547,0.3753510956535552
12.0,37.85249,525.4992,0.0,0.0,127.763504,1446.998,5.815791,77.9767,363.86392,0.6958274,0.27044087099066394
13.0,22.940306,426.96655,0.0,0.0,85.27901,1570.0625,5.952074,71.54956,396.17346,0.6296106,0.16389929491416635
14.0,19.943443,343.3692,0.0,0.0,56.016342,1659.1819,5.977304,63.784134,420.1612,0.56153524,0.14248792325584816
15.0,17.289854,271.81985,0.0,0.0,37.536144,1737.2898,5.86516,55.232357,439.146,0.5111944,0.12352907741652258
16.0,8.028084,211.16684,0.0,0.0,25.404192,1795.1449,5.6898026,47.25134,454.57474,0.45524347,0.05735744331187075
17.0,13.568332,160.71547,0.0,0.0,16.864557,1845.987,5.4577084,39.276054,466.31104,0.41202635,0.09694029410089827
