week,S,I,D,H,C,Q,E,R,R_t
0.0,3960.336,6.319266,17.456928,0.08127399,0.011349078,0.0,15.995166,2.0067387,8.242945084467719
1.0,3917.2917,8.596025,1.6685549,4.004391,0.29063195,0.0,19.75283,3.149262,8.153353462179725
2.0,3898.8176,20.203346,0.054669388,7.1059623,0.89982486,0.0,61.113766,8.361755,8.114902421588894
3.0,3766.9414,51.729137,7.3898525,2.7957375,0.7550448,0.0,123.64666,4.181039,7.840417961518841
4.0,3574.115,101.40437,0.6402666,14.008762,2.401826,0.0,232.55959,29.017784,7.439073839407559
5.0,3243.3186,199.36049,34.984726,41.598103,3.558648,0.0,428.7166,67.16756,6.7505624709184335
6.0,2639.3367,360.1831,22.234798,80.568115,6.514116,0.0,719.4285,138.99513,5.49344961094617
7.0,1910.7659,563.5351,33.072906,160.63043,12.036436,0.0,1021.40576,246.6688,3.9770203975745293
8.0,1176.2568,800.8695,86.28967,265.10822,22.603132,0.0,1218.5267,454.28513,2.448231685371641
9.0,626.03973,964.57745,175.76193,385.409,33.463123,0.0,1159.1649,659.2152,1.3030235463469024
10.0,292.0872,1019.0972,255.45857,527.1233,45.22443,0.0,941.30396,914.6806,0.6079430692897342
11.0,183.47395,937.2487,351.1792,638.1907,57.9984,0.0,681.7874,1175.7196,0.38187813059096315
12.0,64.09001,799.39764,430.88406,739.09705,68.42085,0.0,468.8176,1408.362,0.13339535936682886
13.0,49.529804,645.8681,536.48615,786.80664,78.33291,0.0,313.7966,1602.8518,0.10309010609764224
14.0,8.349499,493.79437,612.29816,812.3497,86.13848,0.0,205.47464,1768.5826,0.017378438947086204
15.0,37.268505,355.99884,722.6035,801.16455,89.73113,0.0,133.50185,1864.5262,0.07756974354193856
16.0,33.85018,258.5254,781.75885,777.2903,94.93291,0.0,83.3158,1962.3682,0.07045492471514236
17.0,11.466738,191.52184,886.7202,740.9837,97.889565,0.0,57.222393,2072.3367,0.0238665832254661
18.0,11.8540125,125.513565,937.8807,690.1242,98.11163,0.0,28.173939,2091.5557,0.024672647712520288
19.0,37.603428,87.18461,1021.12085,630.13916,100.06309,0.0,28.078915,2150.3416,0.07826683830419182
20.0,1.5043434,58.630196,1077.3708,590.7838,101.48768,0.0,19.775192,2181.5154,0.003131102947195317
21.0,12.321179,41.4051,1111.3235,532.29736,100.730644,0.0,5.3793344,2214.6865,0.02564499657813833
22.0,12.406979,30.864664,1188.4481,480.4936,100.90227,0.0,5.933122,2188.4668,0.025823575571939227
23.0,33.36926,19.57254,1186.9175,429.99557,100.35309,0.0,9.364055,2250.6604,0.06945394267259845
24.0,0.28961673,19.68166,1251.8871,387.95972,100.218765,0.0,0.612837,2277.005,0.0006028010721972789
25.0,0.31372288,15.797029,1264.4893,340.2687,101.27143,0.0,2.2207086,2273.4497,0.0006529750031187099
26.0,0.27643442,7.1211457,1293.2606,302.3592,100.73137,0.0,1.4110693,2260.1206,0.000575363735083221
27.0,0.03883949,1.1019577,1333.137,272.97766,99.08733,0.0,2.11933,2268.8665,8.08395476323528e-05
28.0,52.7074,1.0644972,1342.6182,240.1533,99.71438,0.0,0.62269396,2271.7698,0.10970387689873225
29.0,22.318981,1.1781132,1367.6581,218.51523,98.92794,0.0,0.40778777,2295.3076,0.04645417250799823
30.0,16.955431,6.319362,1389.4103,189.93602,99.87963,0.0,0.0,2321.3452,0.03529061416600587
31.0,0.0,0.3379515,1427.6656,174.96725,98.58647,0.0,1.657247,2305.2134,0.0
32.0,5.871728,0.027975589,1423.6438,155.12924,99.374435,0.0,0.70527464,2308.301,0.01222126812188756
33.0,25.524971,2.5647435,1451.9165,130.8105,98.276245,0.0,0.3462929,2314.2908,0.0531270388717108
34.0,27.834,1.6904895,1436.8157,120.61381,97.83186,0.0,1.7768655,2327.4695,0.05793299557658377
35.0,0.10388153,2.8180718,1446.8961,108.13014,98.005104,0.0,0.0,2349.6997,0.00021621643585820416
36.0,33.344933,9.297184,1450.3397,87.78535,98.165016,0.0,0.2153416,2327.51,0.06940331517968204
37.0,10.6551895,0.38930407,1477.1334,76.51665,96.90555,0.0,12.429534,2349.5918,0.022177447397949152
38.0,27.54519,4.9189315,1506.0795,69.342514,96.55611,0.0,0.1256097,2374.6787,0.057331876845965954
39.0,22.400682,0.0,1504.0546,64.68391,97.23885,0.0,0.006148493,2327.8086,0.046624222759163725
40.0,20.906013,1.6698238,1509.2402,45.813175,96.18675,0.0,3.6846373,2350.4836,0.0435132596517074
41.0,2.2422748,1.6004703,1515.9371,51.964066,97.209045,0.0,0.0073761493,2365.9119,0.004667014715162417
42.0,81.18336,3.2556608,1504.8754,38.24161,95.9866,0.0,0.72536916,2351.656,0.16897302517752721
43.0,21.39561,3.1862464,1502.3239,35.747185,94.93114,0.0,8.452585,2370.8455,0.04453229131537712
44.0,31.290564,4.9007277,1511.2235,37.614944,95.13104,0.0,2.3226385,2339.182,0.06512740141401555
45.0,23.863852,1.1138954,1498.644,27.581411,94.79058,0.0,2.0469656,2376.9075,0.04966962816984635
46.0,4.9242206,2.6222901,1503.087,27.951473,94.41743,0.0,6.2222404,2370.4902,0.010249150301711104
47.0,3.142182,0.0,1503.0145,24.84046,93.71852,0.0,7.269553,2367.7188,0.00654005957224151
48.0,13.989472,0.6503235,1509.1814,31.837366,94.88965,0.0,4.2153764,2374.334,0.029117340166644027
49.0,27.192568,0.81575346,1506.9601,14.194079,94.50005,0.0,0.23004745,2376.2285,0.056597935723378644
50.0,43.150715,0.6219924,1519.8025,9.087753,94.386055,0.0,0.08044161,2381.4636,0.08981282581229251
51.0,13.216224,5.927454,1501.7476,9.682652,93.534485,0.0,0.30241507,2365.5366,0.027507921519315897
52.0,8.529329,8.221375,1525.4368,7.9716225,92.74251,0.0,7.099359,2381.3843,0.017752734221337274
53.0,13.837639,1.135673,1550.4678,6.031012,94.11173,0.0,4.8810344,2381.0415,0.028801317404715622
54.0,6.064561,0.3913973,1513.9769,13.726389,93.159775,0.0,5.4787736,2379.2778,0.01262262607317423
55.0,3.6935472,0.1101007,1514.5875,7.728695,91.708305,0.0,2.400401,2382.7124,0.007687657328188831
56.0,2.581816,11.66755,1522.1193,9.740464,91.79339,0.0,0.25288886,2393.3132,0.00537372768067466
57.0,31.374332,0.020814452,1524.2285,10.58063,91.72407,0.0,0.0914118,2358.1033,0.0653017602560024
58.0,19.110758,5.7040973,1516.5804,0.747195,92.07134,0.0,2.6501224,2375.6885,0.03977665640499611
59.0,7.275577,0.39207402,1513.7323,1.8741201,89.71334,0.0,0.21498895,2355.3267,0.015143204561859198
60.0,52.778683,0.5617591,1521.3279,0.41054302,91.23195,0.0,0.12764513,2393.0774,0.1098522404319979
61.0,23.629913,0.0,1505.6617,1.5927575,90.27581,0.0,0.34149793,2383.7234,0.049182714358141796
62.0,15.163187,0.054997414,1521.4083,0.0016100903,90.79648,0.0,0.39550692,2383.3352,0.031560280675704266
63.0,29.186058,0.046224575,1504.4694,3.3218925,88.99223,0.0,7.923533,2382.6526,0.060747135575975324
64.0,6.3935595,4.712691,1522.8871,5.6825733,89.82094,0.0,0.6389211,2368.6387,0.013307395759664059
65.0,13.280684,1.1933845,1533.4019,2.327059,90.21846,0.0,0.0042731278,2373.1907,0.027642086608622576
66.0,2.7589002,1.5648434,1520.1876,3.4322796,89.3226,0.0,5.670551,2361.3372,0.0057423060857415085
67.0,36.042755,2.3070526,1541.1561,1.335288,88.941185,0.0,0.094009325,2356.8445,0.0750184959086061
68.0,10.632446,4.4987383,1549.6428,7.4438677,89.03605,0.0,6.9145455,2385.5708,0.022130109128917167
69.0,9.1097355,0.065957196,1529.199,4.06249,88.964424,0.0,2.0214465,2386.0833,0.0189607756261047
70.0,7.8188233,0.0,1497.6761,0.45927984,88.802734,0.0,0.09783682,2394.8179,0.016273905078792582
71.0,45.72942,0.6325679,1514.227,4.9739738,87.8161,0.0,7.387463,2392.6538,0.0951800793483233
72.0,1.7796104,0.5691017,1539.9612,1.487414,88.01637,0.0,1.5764989,2388.369,0.00370403681942266
73.0,1.7177254,0.0,1537.7345,7.4055786,89.06248,0.0,0.5406338,2402.8179,0.003575230950902991
