week,S,I,Q,R_t
0.0,4002.1006,4.015315,0.03156374,8.267406042755185
1.0,3994.2075,11.329521,0.1601321,8.252028339113629
2.0,3974.466,28.989862,1.1440022,8.213492360920291
3.0,3940.7874,61.053345,2.9092698,8.14358800352313
4.0,3897.5676,102.35263,6.034319,8.05185302019091
5.0,3852.7832,141.83876,10.350216,7.961286774865598
6.0,3813.2932,177.29294,15.253869,7.877978643714121
7.0,3779.7349,205.47258,21.178024,7.807586498001583
8.0,3749.59,228.69469,26.747913,7.7479342598633805
9.0,3724.5017,247.5622,32.485474,7.69702194160896
10.0,3704.1992,262.98996,38.036488,7.653772427085337
11.0,3686.7866,275.91696,42.895824,7.617083008709919
12.0,3672.0505,286.23654,47.342144,7.586581061639753
13.0,3658.4185,295.0425,51.602863,7.559483736863726
14.0,3647.5725,301.53235,55.592777,7.537761679741195
15.0,3638.235,307.49982,58.94635,7.518496518798189
16.0,3630.3293,312.87766,61.738407,7.501664299322957
17.0,3623.2102,317.2104,64.56152,7.486884777920188
18.0,3617.8425,320.3968,66.838684,7.475614206513562
19.0,3613.0623,323.62665,68.792,7.4649856814160644
20.0,3608.6465,325.91534,70.90389,7.455890470840897
21.0,3603.7349,327.7121,72.5552,7.4484640840985135
22.0,3601.7974,329.88107,73.81759,7.441683075364908
23.0,3597.519,331.161,74.87659,7.436444210292496
24.0,3596.677,332.9173,75.94376,7.431025894116353
25.0,3594.6187,333.87698,77.01615,7.426821895830463
26.0,3592.562,334.81235,77.82226,7.423156766683795
27.0,3590.3572,335.8003,78.45631,7.419680731702144
28.0,3589.9583,336.72592,79.025566,7.41682652878552
29.0,3588.4648,336.967,79.67414,7.414858733553221
30.0,3587.4143,338.11752,79.88503,7.412112693177881
31.0,3586.232,338.6746,80.369484,7.4099303172973014
32.0,3585.9697,338.45847,80.72268,7.409620040563089
33.0,3585.563,338.2953,80.90609,7.40949463626006
34.0,3585.4927,339.52832,81.34431,7.406388573245594
35.0,3583.7908,338.84506,81.555466,7.406892283894737
36.0,3583.4587,339.37387,81.552704,7.40584721342434
37.0,3583.3252,339.51813,81.845276,7.405010379519379
38.0,3583.696,339.91245,82.05894,7.403967065217473
39.0,3583.4338,339.70395,82.284966,7.403877586340593
40.0,3583.5657,339.88806,82.19459,7.403733026887796
41.0,3582.6487,339.8775,82.468506,7.403046512214519
42.0,3582.7463,339.8531,82.54734,7.402967201569904
43.0,3582.9294,339.85995,82.59032,7.402914979144131
44.0,3582.5117,340.73624,82.452995,7.40145828743753
45.0,3582.2812,340.61887,82.60804,7.401338366881549
46.0,3583.841,340.54694,82.45016,7.402103275679684
47.0,3582.1323,340.1957,82.82282,7.4016909183569135
48.0,3582.808,339.39206,82.60393,7.403728282567345
49.0,3582.2751,340.5768,82.477234,7.401656456163402
50.0,3582.3242,340.2356,82.66005,7.401959892174458
