day,S,I,A,W,Q,V,C,E,R,P,R_t
0.0,2699.284423828125,2.7682650089263916,2.741687059402466,0.00038796692388132215,0.00031489270622842014,0.0,0.0,9.925093650817871,0.31500890851020813,0.0,12.117129178116777
1.0,2700.0595703125,2.928769452231271,2.9047047751290456,0.030327369309296564,0.0010598840474683258,0.0,0.0,9.37805700302124,0.5075850401605879,0.0,12.117283819301264
2.0,2700.834716796875,3.08927389553615,3.0677224908556258,0.060266771694711806,0.0018048753887082317,0.0,0.0,8.83102035522461,0.7001611718109676,0.0,12.117438460485753
3.0,2701.60986328125,3.2497783388410295,3.2307402065822055,0.09020617408012704,0.0025498667299481375,0.0,0.0,8.283983707427979,0.8927373034613473,0.0,12.11759310167024
4.0,2702.385009765625,3.410282782145909,3.3937579223087857,0.12014557646554229,0.003294858071188043,0.0,0.0,7.736947059631348,1.085313435111727,0.0,12.117747742854727
5.0,2703.16015625,3.570787225450788,3.5567756380353654,0.15008497885095753,0.004039849412427949,0.0,0.0,7.189910411834717,1.2778895667621069,0.0,12.117902384039214
6.0,2703.935302734375,3.7312916687556674,3.719793353761945,0.18002438123637277,0.004784840753667855,0.0,0.0,6.642873764038086,1.4704656984124864,0.0,12.118057025223703
7.0,2704.71044921875,3.891796112060547,3.8828110694885254,0.20996378362178802,0.005529832094907761,0.0,0.0,6.095837116241455,1.6630418300628662,0.0,12.11821166640819
8.0,2702.301513671875,3.9100612912859236,3.92362185886928,0.238483088357108,0.0064854176182832035,4.632112230573382,0.0,5.753559725625174,1.9037041664123535,0.0,12.097814557590208
9.0,2699.892578125,3.9283264705113004,3.964432648250035,0.26700239309242796,0.0074410031416586465,9.264224461146764,0.0,5.411282335008893,2.144366502761841,0.0,12.077417448772229
10.0,2697.483642578125,3.946591649736677,4.0052434376307895,0.2955216978277479,0.00839658866503409,13.896336691720146,0.0,5.0690049443926135,2.385028839111328,0.0,12.057020339954247
11.0,2695.07470703125,3.9648568289620534,4.0460542270115445,0.32404100256306784,0.009352174188409532,18.528448922293528,0.0,4.726727553776332,2.6256911754608154,0.0,12.036623231136266
12.0,2692.665771484375,3.98312200818743,4.0868650163922995,0.35256030729838783,0.010307759711784976,23.16056115286691,0.0,4.384450163160052,2.8663535118103027,0.0,12.016226122318285
13.0,2690.2568359375,4.001387187412807,4.127675805773054,0.38107961203370777,0.01126334523516042,27.79267338344029,0.0,4.042172772543771,3.10701584815979,0.0,11.995829013500305
14.0,2687.847900390625,4.019652366638184,4.168486595153809,0.4095989167690277,0.012218930758535862,32.42478561401367,0.0,3.6998953819274902,3.3476781845092773,0.0,11.975431904682324
15.0,2689.161690848214,3.959510156086513,4.1517501558576315,0.4310970902442932,0.012948074245027133,28.38724892480033,0.0,3.4973130226135254,3.6563896451677596,0.0,11.99320048884764
16.0,2690.4754813058034,3.8993679455348422,4.135013716561454,0.4525952637195587,0.013677217731518405,24.349712235586985,0.0,3.2947306632995605,3.9651011058262418,0.0,12.010969073012953
17.0,2691.7892717633927,3.8392257349831715,4.1182772772652765,0.4740934371948242,0.014406361218009676,20.312175546373638,0.0,3.0921483039855957,4.2738125664847235,0.0,12.028737657178269
18.0,2693.1030622209823,3.7790835244315013,4.1015408379690985,0.4955916106700897,0.015135504704500948,16.274638857160294,0.0,2.889565944671631,4.582524027143206,0.0,12.046506241343584
19.0,2694.4168526785716,3.7189413138798306,4.084804398672921,0.5170897841453552,0.01586464819099222,12.23710216794695,0.0,2.686983585357666,4.891235487801688,0.0,12.0642748255089
20.0,2695.730643136161,3.65879910332816,4.0680679593767435,0.5385879576206207,0.01659379167748349,8.199565478733604,0.0,2.484401226043701,5.19994694846017,0.0,12.082043409674213
21.0,2697.04443359375,3.5986568927764893,4.051331520080566,0.5600861310958862,0.017322935163974762,4.162028789520264,0.0,2.2818188667297363,5.508658409118652,0.0,12.099811993839529
22.0,2692.331229073661,3.523007188524519,3.9977220126560757,0.5783627458981105,0.017924259283712933,18.091251509530203,0.0,2.155965805053711,5.7496025902884345,0.0,12.039119171142696
23.0,2687.6180245535716,3.447357484272548,3.9441125052315846,0.5966393607003349,0.0185255834034511,32.02047422954014,0.0,2.0301127433776855,5.9905467714582175,0.0,11.978426348445863
24.0,2682.9048200334823,3.3717077800205777,3.890502997807094,0.614915975502559,0.01912690752318927,45.94969694955009,0.0,1.9042596817016602,6.231490952628,0.0,11.91773352574903
25.0,2678.1916155133927,3.296058075768607,3.8368934903826033,0.6331925903047834,0.019728231642927443,59.87891966956003,0.0,1.7784066200256348,6.472435133797782,0.0,11.857040703052196
26.0,2673.4784109933034,3.2204083715166365,3.7832839829581126,0.6514692051070077,0.020329555762665614,73.80814238956997,0.0,1.6525535583496094,6.713379314967565,0.0,11.796347880355363
27.0,2668.765206473214,3.1447586672646657,3.7296744755336215,0.669745819909232,0.02093087988240378,87.73736510957991,0.0,1.526700496673584,6.954323496137347,0.0,11.73565505765853
28.0,2664.052001953125,3.0691089630126953,3.676064968109131,0.6880224347114563,0.021532204002141953,101.66658782958984,0.0,1.4008474349975586,7.195267677307129,0.0,11.674962234961697
29.0,2663.3567940848216,2.9911749022347585,3.6238439764295305,0.6975726996149335,0.021994489378162792,103.40923527308873,0.0,1.3198169810431344,7.415263584681919,0.0,11.667499328650509
30.0,2662.6615862165177,2.913240841456822,3.57162298474993,0.7071229645184108,0.022456774754183634,105.15188271658761,0.0,1.2387865270887102,7.6352594920567105,0.0,11.660036422339319
31.0,2661.966378348214,2.835306780678885,3.5194019930703297,0.716673229421888,0.022919060130204474,106.89453016008649,0.0,1.157756073134286,7.855255399431501,0.0,11.65257351602813
32.0,2661.271170479911,2.757372719900949,3.46718100139073,0.7262234943253654,0.023381345506225313,108.63717760358539,0.0,1.0767256191798618,8.075251306806292,0.0,11.64511060971694
33.0,2660.5759626116073,2.679438659123012,3.4149600097111295,0.7357737592288426,0.023843630882246152,110.37982504708427,0.0,0.9956951652254377,8.295247214181083,0.0,11.637647703405753
34.0,2659.8807547433034,2.6015045983450755,3.362739018031529,0.7453240241323198,0.024305916258266995,112.12247249058315,0.0,0.9146647112710136,8.515243121555873,0.0,11.630184797094563
35.0,2659.185546875,2.5235705375671387,3.3105180263519287,0.7548742890357971,0.024768201634287834,113.86511993408203,0.0,0.8336342573165894,8.735239028930664,0.0,11.622721890783374
36.0,2651.883614676339,2.452811207090105,3.2447108881814137,0.757833216871534,0.02507107305739607,112.57428305489677,0.0,0.786906327520098,8.913516317095075,0.0,11.626728577936815
37.0,2644.5816824776784,2.382051876613072,3.178903750010899,0.7607921447072711,0.02537394448050431,111.28344617571149,0.0,0.7401783977236066,9.091793605259486,0.0,11.630735265090257
38.0,2637.2797502790177,2.3112925461360385,3.113096611840384,0.763751072543008,0.025676815903612545,109.99260929652623,0.0,0.6934504679271153,9.270070893423897,0.0,11.634741952243697
39.0,2629.9778180803573,2.2405332156590054,3.0472894736698697,0.7667100003787449,0.025979687326720784,108.70177241734096,0.0,0.646722538130624,9.44834818158831,0.0,11.63874863939714
40.0,2622.6758858816966,2.169773885181972,2.9814823354993547,0.7696689282144819,0.02628255874982902,107.4109355381557,0.0,0.5999946083341325,9.626625469752721,0.0,11.64275532655058
41.0,2615.373953683036,2.099014554704939,2.91567519732884,0.7726278560502189,0.026585430172937255,106.12009865897042,0.0,0.5532666785376412,9.804902757917132,0.0,11.646762013704022
42.0,2608.072021484375,2.0282552242279053,2.849868059158325,0.7755867838859558,0.026888301596045494,104.82926177978516,0.0,0.5065387487411499,9.983180046081543,0.0,11.650768700857462
43.0,2611.2102399553573,1.9646411282675607,2.8064889907836914,0.7758664914539882,0.027146844459431514,112.82689775739398,0.0,0.479300320148468,10.094085829598564,0.0,11.61825920312521
44.0,2614.348458426339,1.901027032307216,2.7631099224090576,0.7761461990220206,0.02740538732281753,120.82453373500279,0.0,0.45206189155578613,10.204991613115583,0.0,11.585749705392958
45.0,2617.4866768973216,1.8374129363468714,2.719730854034424,0.7764259065900531,0.02766393018620355,128.8221697126116,0.0,0.42482346296310425,10.315897396632604,0.0,11.553240207660705
46.0,2620.6248953683034,1.7737988403865268,2.67635178565979,0.7767056141580854,0.027922473049589565,136.81980569022042,0.0,0.39758503437042236,10.426803180149623,0.0,11.520730709928454
47.0,2623.763113839286,1.7101847444261824,2.6329727172851562,0.7769853217261178,0.028181015912975584,144.81744166782926,0.0,0.3703466057777405,10.537708963666644,0.0,11.488221212196201
48.0,2626.9013323102677,1.6465706484658378,2.5895936489105225,0.7772650292941502,0.028439558776361604,152.81507764543807,0.0,0.3431081771850586,10.648614747183663,0.0,11.45571171446395
49.0,2630.03955078125,1.5829565525054932,2.5462145805358887,0.7775447368621826,0.02869810163974762,160.81271362304688,0.0,0.3158697485923767,10.759520530700684,0.0,11.423202216731697
50.0,2625.1465890066966,1.5339693341936385,2.481632709503174,0.7707065514155796,0.028615560116512433,157.58735002790178,0.0,0.30689253977366854,10.879196030752999,0.0,11.435255165952887
51.0,2620.2536272321427,1.4849821158817835,2.417050838470459,0.7638683659689767,0.02853301859327725,154.3619864327567,0.0,0.2979153309549604,10.998871530805316,0.0,11.447308115174076
52.0,2615.360665457589,1.4359948975699288,2.352468967437744,0.7570301805223737,0.028450477070042064,151.1366228376116,0.0,0.28893812213625225,11.11854703085763,0.0,11.459361064395265
