day,S,I,P,R_t
0.0,2955.860382080078,0.0,0.0,15.2393797485353
1.0,2977.98927961077,15.430853979928154,0.0,15.353468585386691
2.0,3000.118177141462,30.861707959856307,0.0,15.46755742223808
3.0,3022.247074672154,46.292561939784456,0.0,15.58164625908947
4.0,3044.375972202846,61.723415919712615,0.0,15.69573509594086
5.0,3066.504869733538,77.15426989964077,0.0,15.80982393279225
6.0,3088.63376726423,92.58512387956891,0.0,15.923912769643639
7.0,3110.762664794922,108.01597785949707,0.0,16.03800160649503
8.0,2975.783113752093,251.31967544555664,0.0,15.342094367743478
9.0,2840.803562709263,394.6233730316162,0.0,14.646187128991926
10.0,2705.824011666434,537.9270706176758,0.0,13.950279890240374
11.0,2570.844460623605,681.2307682037354,0.0,13.254372651488822
12.0,2435.8649095807755,824.534465789795,0.0,12.55846541273727
13.0,2300.885358537946,967.8381633758545,0.0,11.86255817398572
14.0,2165.905807495117,1111.141860961914,0.0,11.166650935234168
15.0,2160.370921543666,1188.8642447335378,0.0,11.13811500390582
16.0,2154.8360355922155,1266.5866285051616,0.0,11.109579072577473
17.0,2149.3011496407644,1344.3090122767858,0.0,11.081043141249125
18.0,2143.7662636893137,1422.0313960484095,0.0,11.05250720992078
19.0,2138.2313777378627,1499.7537798200335,0.0,11.023971278592432
20.0,2132.696491786412,1577.4761635916575,0.0,10.995435347264085
21.0,2127.161605834961,1655.1985473632812,0.0,10.966899415935737
22.0,2093.3283647809712,1900.3505153656008,0.0,10.792467087646012
23.0,2059.495123726981,2145.5024833679204,0.0,10.618034759356284
24.0,2025.661882672991,2390.6544513702393,0.0,10.443602431066559
25.0,1991.8286416190012,2635.806419372558,0.0,10.269170102776833
26.0,1957.995400565011,2880.9583873748775,0.0,10.094737774487108
27.0,1924.1621595110214,3126.1103553771973,0.0,9.92030544619738
28.0,1890.3289184570312,3371.2623233795166,0.0,9.745873117907655
29.0,1751.0001356942312,3492.2886434282573,0.0,9.027542765332237
30.0,1611.6713529314313,3613.3149634769984,0.0,8.309212412756818
31.0,1472.3425701686315,3734.341283525739,0.0,7.5908820601814
32.0,1333.0137874058314,3855.3676035744807,0.0,6.872551707605982
33.0,1193.6850046430316,3976.393923623222,0.0,6.154221355030564
34.0,1054.3562218802317,4097.420243671962,0.0,5.435891002455145
35.0,915.0274391174316,4218.446563720703,0.0,4.717560649879728
36.0,1514.4971989222936,4152.359877450125,0.0,7.80821654581216
37.0,2113.9669587271555,4086.273191179548,0.0,10.898872441744594
38.0,2713.4367185320175,4020.1865049089706,0.0,13.989528337677026
