week,S,I,P,R_t
0.0,2955.8604,0.0,0.0,15.2393797485353
1.0,3110.7627,108.015976,0.0,16.03800160649503
2.0,2165.9058,1111.1418,0.0,11.166650935234168
3.0,2127.1616,1655.1985,0.0,10.966899415935737
4.0,1890.3289,3371.2625,0.0,9.745873117907655
5.0,915.02747,4218.447,0.0,4.717560649879728
6.0,5111.316,3755.8398,0.0,26.352151921406758
7.0,4454.907,6303.349,0.0,22.9679409427488
8.0,4386.0537,6164.984,0.0,22.612953471385204
9.0,2169.2993,8741.101,0.0,11.184146586389158
10.0,6220.214,4750.135,0.0,32.06924030745651
11.0,1713.1487,9151.602,0.0,8.832394411693686
12.0,8467.106,4349.034,0.0,43.65343189401475
13.0,1537.3976,11108.82,0.0,7.926282922655947
14.0,6673.9614,6587.052,0.0,34.408606036186725
15.0,681.49005,11989.35,0.0,3.5135236428301306
16.0,5161.437,7647.812,0.0,26.610560379078663
17.0,1744.3666,10975.33,0.0,8.993342908294956
18.0,8919.738,6995.0234,0.0,45.98704416112618
19.0,1856.0531,13946.097,0.0,9.569158979390659
20.0,10620.336,6590.4893,0.0,54.75473142857117
21.0,2476.761,14727.488,0.0,12.769311422500554
22.0,10385.891,8401.821,0.0,53.54601078593834
23.0,1928.1069,16761.787,0.0,9.940643589908296
24.0,10111.315,8642.825,0.0,52.13039917930234
25.0,1606.8839,17436.217,0.0,8.284529533982335
26.0,7496.105,11310.777,0.0,38.64728789942774
27.0,5308.0435,13451.527,0.0,27.366409231663415
28.0,8506.276,10413.091,0.0,43.855376321811754
29.0,3545.0254,15216.543,0.0,18.2769081173527
30.0,11294.754,7341.0234,0.0,58.23179129746252
31.0,2464.4387,16347.719,0.0,12.705782689585739
32.0,10510.709,7769.8203,0.0,54.18952936704426
33.0,1308.2856,17103.293,0.0,6.745062240278922
34.0,7514.6313,11269.799,0.0,38.7428062292807
35.0,7527.158,11504.546,0.0,38.80739010233167
36.0,6470.067,12450.709,0.0,33.35739758791154
37.0,7944.6816,10859.246,0.0,40.95999463546571
