week,S,I,A,W,Q,V,C,E,R,P,R_t
0.0,2699.2844,2.768265,2.741687,0.00038796692,0.0003148927,0.0,0.0,9.925094,0.3150089,0.0,12.117129178116777
1.0,2704.7104,3.891796,3.882811,0.20996378,0.005529832,0.0,0.0,6.095837,1.6630418,0.0,12.11821166640819
2.0,2687.848,4.0196524,4.1684866,0.40959892,0.012218931,32.424786,0.0,3.6998954,3.3476782,0.0,11.975431904682324
3.0,2697.0444,3.598657,4.0513315,0.56008613,0.017322935,4.162029,0.0,2.2818189,5.5086584,0.0,12.099811993839529
4.0,2664.052,3.069109,3.676065,0.68802243,0.021532204,101.66659,0.0,1.4008474,7.1952677,0.0,11.674962234961697
5.0,2659.1855,2.5235705,3.310518,0.7548743,0.024768202,113.86512,0.0,0.83363426,8.735239,0.0,11.622721890783374
6.0,2608.072,2.0282552,2.849868,0.7755868,0.026888302,104.82926,0.0,0.50653875,9.98318,0.0,11.650768700857462
7.0,2630.0396,1.5829566,2.5462146,0.77754474,0.028698102,160.81271,0.0,0.31586975,10.759521,0.0,11.423202216731697
8.0,2595.7888,1.240046,2.0941415,0.72967744,0.028120311,138.23517,0.0,0.2530293,11.597249,0.0,11.507572861280023
9.0,2588.4329,0.96128386,1.7779485,0.7061835,0.027907286,167.45187,0.0,0.070312396,12.2646885,0.0,11.384892248633047
10.0,2506.797,0.7136669,1.4702206,0.64552927,0.028549891,144.20958,0.0,0.11347257,12.586485,0.0,11.460371883701534
11.0,2526.7256,0.5745167,1.2148389,0.596717,0.027406244,225.09763,0.0,0.086303115,12.86336,0.0,11.131144508330236
12.0,2500.343,0.43744984,1.0631652,0.5307864,0.026905786,225.71243,0.0,0.11147276,13.23194,0.0,11.118052234722196
13.0,2535.3306,0.36310104,0.8913311,0.48713872,0.025695223,282.27475,0.0,0.07818283,13.1647415,0.0,10.91058776116097
14.0,2479.4072,0.26729465,0.70846534,0.4333047,0.023587935,261.816,0.0,0.0,13.442941,0.0,10.965990073908157
15.0,2489.0383,0.16945499,0.5708672,0.37886107,0.023296371,217.73955,0.0,0.0,13.57552,0.0,11.148356683383366
16.0,2457.3499,0.16717161,0.56333935,0.32920468,0.021322036,313.35443,0.0,0.0219746,13.506853,0.0,10.754014762429238
17.0,2468.295,0.14719401,0.4559202,0.28496808,0.020405317,284.6621,0.0,0.03261184,13.537006,0.0,10.871533542454648
18.0,2406.696,0.10699158,0.35579106,0.25596064,0.019358022,314.03726,0.0,0.0,13.671525,0.0,10.72527287555611
19.0,2405.7698,0.07436347,0.30509058,0.22385854,0.018437566,377.17145,0.0,0.03150492,13.584184,0.0,10.483229765056326
20.0,2351.761,0.035449658,0.24733372,0.19317053,0.016841443,283.24164,0.0,0.0,13.358018,0.0,10.82164825297726
21.0,2382.7354,0.08698293,0.22477402,0.17532328,0.01613124,364.57452,0.0,0.0026286466,13.581809,0.0,10.517219557681234
22.0,2405.443,0.02010049,0.18032956,0.14173065,0.0147289075,385.04678,0.0,0.036450744,13.461382,0.0,10.454713768502929
23.0,2377.2688,0.030078683,0.13128828,0.12914565,0.01433582,361.4098,0.0,0.062363166,13.005979,0.0,10.528549878843465
24.0,2345.602,0.069829404,0.097562686,0.10925446,0.012492612,421.81302,0.0,0.039031543,13.20419,0.0,10.280283809007768
25.0,2342.5461,0.028041372,0.12206508,0.10393419,0.0120689925,428.784,0.0,0.005959377,13.099995,0.0,10.253026837011632
26.0,2305.2903,0.021731028,0.16697921,0.08496816,0.011365667,423.68546,0.0,0.021653028,12.993798,0.0,10.24600032246289
27.0,2263.3743,0.0,0.09814794,0.06527465,0.010359295,455.27405,0.0,0.019773128,12.986126,0.0,10.098105147249184
28.0,2256.7537,0.0073832907,0.04304709,0.062024068,0.009874209,452.95117,0.0,0.0,12.768341,0.0,10.102699039156814
29.0,2274.806,0.0306795,0.071499705,0.048790716,0.009591171,551.57465,0.0,0.0,12.9653225,0.0,9.764172448562439
30.0,2218.0208,0.0,0.08340343,0.033839952,0.008807504,507.77142,0.0,0.0031282916,12.749239,0.0,9.870920668994259
31.0,2185.1777,0.017578056,0.007997542,0.03085162,0.008410675,497.88266,0.0,0.0,12.541753,0.0,9.879887198902773
32.0,2241.0469,0.0,0.058718417,0.033505492,0.0075938003,543.5473,0.0,0.0054281577,12.48767,0.0,9.764749706509386
33.0,2204.5083,0.0,0.071301214,0.033478394,0.0070436713,547.4434,0.0,0.0,12.212992,0.0,9.719904537027695
34.0,2214.9214,0.0,0.0019525591,0.021041019,0.006520689,514.6868,0.0,0.05110757,12.25179,0.0,9.845325780304476
35.0,2183.353,0.02746679,0.01053723,0.0129116075,0.0067561567,609.45337,0.0,0.0,11.949411,0.0,9.487427379279875
36.0,2166.3704,0.0,0.0058937985,0.021518778,0.005870431,638.1738,0.0,0.0041659675,12.028655,0.0,9.37423313106403
37.0,2172.915,0.0,0.001720861,0.010309512,0.0058512683,634.28674,0.0,0.0,12.020689,0.0,9.393743979444336
38.0,2077.6594,0.0104230745,0.058857534,0.018263675,0.004941155,637.94354,0.0,0.013270334,11.862187,0.0,9.283841238099418
39.0,2072.1055,0.0,0.029253624,0.004504526,0.0045933924,657.2264,0.0,0.0,11.709391,0.0,9.21334668534973
40.0,2137.705,0.0,0.0,0.016663834,0.004507139,652.1742,0.0,0.025882678,11.483493,0.0,9.300369739619041
41.0,2118.9966,0.0,0.031759974,0.013672399,0.0035823444,641.3594,0.0,0.0,11.803331,0.0,9.316076086305765
42.0,2093.828,0.009693341,0.0125787305,0.008977937,0.0042728046,679.00256,0.0,0.0,11.131866,0.0,9.166424690075326
43.0,2128.1736,0.0,0.0,0.0046131555,0.003903742,713.2444,0.0,0.016241688,11.195412,0.0,9.092588878449325
44.0,2019.4529,0.024725104,0.0,0.00070152176,0.00293857,727.66034,0.0,0.0,11.152298,0.0,8.923182741673115
45.0,2009.0631,0.011073627,0.033207804,0.0047923825,0.0034153955,726.09235,0.0,0.07378517,11.20224,0.0,8.9154600268612
46.0,1988.2133,0.041317206,0.0,0.0,0.0029014389,729.06366,0.0,0.0,10.8103485,0.0,8.88227380050697
47.0,1971.772,0.0,0.0,0.0063330797,0.0031884005,758.9298,0.0,0.0,10.821814,0.0,8.76578237972589
48.0,1990.3737,0.029611694,0.0,0.0,0.0026810067,790.2018,0.0,0.014007681,10.64298,0.0,8.690806440305465
49.0,2011.4777,0.0,0.025809426,0.014372302,0.0023098986,760.303,0.0,0.02185341,11.069473,0.0,8.80935452856934
50.0,1919.3696,0.0,0.0,0.0,0.0025150033,805.3013,0.0,0.0,10.720975,0.0,8.551950048831426
51.0,1961.3107,0.005619852,0.0,0.004297055,0.0018634581,801.75037,0.0,0.062185064,10.7853,0.0,8.61746589484508
52.0,1906.6251,0.0,0.045129836,0.013272629,0.0018575164,841.73334,0.0,0.032715894,10.539954,0.0,8.422548954614228
53.0,1939.8684,0.022704609,0.0,0.0006650905,0.0019286656,844.4916,0.0,0.0,10.487834,0.0,8.459345558462116
54.0,1846.2397,0.010578668,0.05646236,0.009904511,0.001669044,809.369,0.0,0.042137444,10.202527,0.0,8.440479583295682
55.0,1905.0243,0.0,0.009348538,0.0026058939,0.001292311,845.6419,0.0,0.030737594,10.070293,0.0,8.409991202919764
56.0,1829.0175,0.0452083,0.0,0.0,0.0011904383,902.1311,0.0,0.05021872,9.982155,0.0,8.132035871491917
57.0,1839.7604,0.026306838,0.0019973584,0.0,0.0014946663,850.17847,0.0,0.0,9.8341675,0.0,8.30530727322518
58.0,1862.5073,0.0059495927,0.06281703,0.0021847694,0.0013272606,897.0408,0.0,0.0,9.91471,0.0,8.196301951273698
59.0,1856.6962,0.0,0.005395341,0.0,0.0011476056,865.13837,0.0,0.0,9.917911,0.0,8.283711192114541
60.0,1874.1696,0.0,0.0,0.0,0.0011756567,918.22266,0.0,0.008891952,9.687587,0.0,8.151796097362881
61.0,1802.7971,0.014929698,0.0,0.011794799,0.00086714275,952.9629,0.0,0.0,9.553793,0.0,7.945595315370338
62.0,1817.7048,0.0,0.00025208594,0.0040504797,0.0011070868,916.23364,0.0,0.008580525,9.439198,0.0,8.075374597683204
63.0,1770.9065,0.0,0.0,0.0,0.0012479739,1018.94037,0.0,0.0038865982,9.618619,0.0,7.709854920254674
64.0,1781.045,0.0,0.0017516585,0.004532183,0.0014652783,960.4613,0.0,0.012372081,9.4370775,0.0,7.89073161160999
65.0,1771.8715,0.0,0.0,0.0,0.00063853175,971.37036,0.0,0.0,9.199029,0.0,7.845860933095087
66.0,1774.534,0.0,0.0,0.0077985628,0.0008305606,1007.93054,0.0,0.024088858,9.239632,0.0,7.7470711789418205
67.0,1745.0028,0.031873908,0.0,0.0,0.0003541628,989.1026,0.0,0.08461834,9.113898,0.0,7.752532436035883
68.0,1748.5488,0.0,0.0,0.0013681254,0.00062432204,992.1921,0.0,0.08569719,9.172722,0.0,7.749462255913015
69.0,1701.783,0.0,0.0,0.0,0.000494491,1026.5936,0.0,0.0,8.907658,0.0,7.57723371584175
70.0,1702.3304,0.0,0.0151540125,0.0,0.00082585204,1020.06305,0.0,0.0,8.973986,0.0,7.596047638264312
71.0,1734.0623,0.0,0.005400117,0.0,0.00051623036,1035.959,0.0,0.0,8.778128,0.0,7.605592593453804
72.0,1680.1014,0.0,0.0,0.0062067835,0.0011225963,1032.3209,0.0,0.034097496,8.765952,0.0,7.524848739472993
73.0,1647.5342,0.0,0.0,0.0,0.0007659593,1040.4178,0.0,0.049365588,8.578352,0.0,7.446420044783503
74.0,1686.1211,0.0,0.030534135,0.0,0.00012127172,1067.5143,0.0,0.017449042,8.577874,0.0,7.439615366184546
75.0,1669.4048,0.013529981,0.016108902,0.0,0.00029196392,1087.3757,0.0,0.03340613,8.725887,0.0,7.35704695368646
76.0,1680.9172,0.0,0.023937736,0.0,0.0007376572,1109.4954,0.0,0.025924874,8.571974,0.0,7.319214307058933
77.0,1607.8679,0.0,0.0,0.011063064,0.00073693506,1081.1526,0.0,0.017973777,8.111217,0.0,7.2656034173886335
