week,S,I,R,H,W,P,A,Q,R_t
0.0,1342.3004,1.3452119,0.0,0.0,0.00016209272,0.0,1.3439221,0.0,5.0538528324157825
1.0,1342.2977,0.98592645,0.5841008,8.133733e-06,0.05851841,0.0,1.1070862,0.006548613,5.053873342929538
2.0,1342.3046,0.7216321,1.0354974,1.3124303e-05,0.08769585,0.0,0.91159475,0.010621131,5.053889595453757
3.0,1342.3071,0.52947557,1.3800211,1.5906973e-05,0.099130094,0.0,0.75067765,0.012992906,5.053912819440475
4.0,1342.3289,0.38848534,1.6455845,1.717582e-05,0.09916791,0.0,0.61802155,0.014176408,5.053938902450983
5.0,1342.3398,0.28392005,1.8463851,1.7550847e-05,0.0935859,0.0,0.50933856,0.014531569,5.053984421589915
6.0,1342.3408,0.20918904,1.9870942,1.7096367e-05,0.08464103,0.0,0.41891783,0.014403846,5.054076758582666
7.0,1342.3684,0.15240142,2.109381,1.6369164e-05,0.074261144,0.0,0.34559968,0.0138855595,5.054108293407481
8.0,1342.3829,0.112401605,2.1926966,1.5383539e-05,0.06381879,0.0,0.28407937,0.013154925,5.05417955710139
9.0,1342.3989,0.081815556,2.2584767,1.4282801e-05,0.054247532,0.0,0.23358497,0.012277348,5.054240470850021
10.0,1342.4161,0.060688738,2.305206,1.3132329e-05,0.045170303,0.0,0.19283867,0.011375562,5.05430089646584
11.0,1342.4259,0.043933418,2.3433151,1.190035e-05,0.03771302,0.0,0.15623653,0.010476403,5.054361652264708
12.0,1342.448,0.03289282,2.3686674,1.0766123e-05,0.031112697,0.0,0.12911703,0.00956795,5.054413359337898
13.0,1342.4557,0.024349608,2.384777,9.705965e-06,0.025389645,0.0,0.108625084,0.008731465,5.05446513505644
14.0,1342.478,0.017757138,2.391632,8.78367e-06,0.020587415,0.0,0.088955134,0.007901093,5.054541350306866
15.0,1342.4935,0.014092657,2.392038,7.858978e-06,0.016651059,0.0,0.07258962,0.0071473997,5.054618043447075
16.0,1342.5123,0.008927559,2.3924458,6.9938064e-06,0.013293969,0.0,0.061161004,0.0064255805,5.054681719416718
17.0,1342.5396,0.008040328,2.3905537,6.2643794e-06,0.0107415635,0.0,0.047923014,0.0058173826,5.054744391462758
18.0,1342.549,0.004914148,2.3840272,5.5410974e-06,0.008492191,0.0,0.03973116,0.005240348,5.054813690939913
19.0,1342.568,0.003915961,2.3699143,4.924449e-06,0.0069324914,0.0,0.031742245,0.0047151865,5.054902613322651
20.0,1342.5812,0.0036707348,2.3641195,4.418768e-06,0.0054623755,0.0,0.028174127,0.0042402716,5.054940599644987
21.0,1342.6016,0.003401953,2.354409,3.9288134e-06,0.00443263,0.0,0.023634244,0.0037817354,5.054997030195165
22.0,1342.6135,0.002356739,2.3470926,3.4511245e-06,0.0033304892,0.0,0.020485591,0.0033768541,5.055041893561829
23.0,1342.638,0.0006246897,2.3294153,3.1283369e-06,0.0025616302,0.0,0.015894823,0.0030235203,5.055133587794801
24.0,1342.653,0.0012048117,2.3137739,2.7616004e-06,0.0021663436,0.0,0.012287942,0.0026999603,5.055205068685837
25.0,1342.6747,0.00089724077,2.3044631,2.4003605e-06,0.0017345326,0.0,0.009198687,0.0024439397,5.055253935856332
26.0,1342.686,0.0,2.2819161,2.162931e-06,0.0013938744,0.0,0.0088415025,0.0021607333,5.055344535191002
27.0,1342.708,0.0,2.2643569,1.8606722e-06,0.0010314566,0.0,0.006672993,0.0019114107,5.055419764847575
28.0,1342.7194,0.0,2.2541656,1.6754817e-06,0.0008255541,0.0,0.0067033507,0.0017431122,5.055458662203142
29.0,1342.7375,0.0,2.2469664,1.4874744e-06,0.00078034773,0.0,0.0047550923,0.0015540128,5.055493872050125
30.0,1342.7522,0.0011337394,2.2193909,1.2972229e-06,0.00058635144,0.0,0.0027198426,0.0013963082,5.055601597195123
31.0,1342.7756,0.0,2.203962,1.1435254e-06,0.00018767483,0.0,0.0034254242,0.0012410044,5.055661931440764
32.0,1342.7827,0.0,2.194595,1.0627678e-06,0.0003921383,0.0,0.0026890528,0.0011104895,5.055700443727799
33.0,1342.8022,0.00028584152,2.183204,9.524158e-07,0.00028662974,0.0,0.0022759775,0.0009999779,5.055744276426151
34.0,1342.8201,0.0007872269,2.1562307,7.845432e-07,0.00018919888,0.0,0.003442733,0.00088859175,5.055839925980428
35.0,1342.836,0.0017289757,2.1463785,7.597511e-07,7.976254e-05,0.0,0.001534688,0.0008054782,5.055881002157423
36.0,1342.8528,2.471466e-05,2.1300645,6.0925015e-07,8.66366e-05,0.0,0.0009287726,0.0007179441,5.055951441999744
37.0,1342.8632,0.0009298543,2.1167343,5.323532e-07,9.279251e-05,0.0,0.00095560844,0.0006602144,5.055998327723456
38.0,1342.8833,0.0,2.100548,5.030979e-07,8.031605e-06,0.0,0.0026051304,0.0005601584,5.056056964495159
39.0,1342.8972,0.0,2.089834,4.3483536e-07,0.00028877772,0.0,0.0006864161,0.00049082,5.0561047962481345
40.0,1342.9132,0.00081615814,2.065293,4.0651355e-07,0.000112652066,0.0,0.0002879659,0.00047319208,5.0561956411331455
41.0,1342.932,0.00044660494,2.0581615,3.4236888e-07,7.086918e-05,0.0,0.00027690502,0.00040402284,5.056224250578346
42.0,1342.9431,0.0005109639,2.044945,2.9480887e-07,2.1033263e-06,0.0,0.0,0.0003717379,5.0562749200308525
43.0,1342.9608,0.001081687,2.0271325,2.9082383e-07,0.0,0.0,0.0,0.00034176052,5.0563399518077405
44.0,1342.9694,0.00066483364,2.009446,2.4418642e-07,6.995206e-05,0.0,0.0,0.0003073411,5.056408188355961
45.0,1342.9855,0.0009901929,2.0000591,1.743066e-07,0.0,0.0,0.0,0.00027553792,5.056442464798568
46.0,1342.9993,0.0,1.9850105,1.509099e-07,0.0,0.0,0.0012800607,0.00022091872,5.056498232699064
47.0,1343.0161,0.0,1.967989,1.729109e-07,0.0,0.0,0.0,0.00022028093,5.056567133951841
48.0,1343.0343,0.0,1.956559,1.4988838e-07,0.0,0.0,0.00081584015,0.00018094943,5.0566072867025476
49.0,1343.0433,0.0009615505,1.9443283,1.3422739e-07,0.0,0.0,0.0,0.00012965602,5.056652963473881
50.0,1343.0618,0.0006557805,1.931845,1.1353727e-07,0.0,0.0,1.610544e-05,0.00013548946,5.056701063572097
51.0,1343.074,0.0,1.9081715,9.391101e-08,0.0,0.0,0.0,0.00012950663,5.056792682688465
52.0,1343.0961,0.00014096579,1.8962506,8.076262e-08,0.0,0.0,0.00017542041,0.00011612658,5.056836480874233
53.0,1343.1025,0.0,1.886083,6.807203e-08,8.653562e-05,0.0,0.0013297944,9.874981e-05,5.056870998141701
54.0,1343.1135,0.0,1.868039,6.246522e-08,0.0,0.0,0.0,5.6099972e-05,5.056944058271609
55.0,1343.1403,0.0,1.8507708,4.4455593e-08,0.0,0.0,0.00061054673,9.90861e-05,5.057006666438376
56.0,1343.1456,0.00091730896,1.8437854,5.0732055e-08,2.7423925e-05,0.0,0.000593662,6.283833e-05,5.057029709425065
57.0,1343.1643,0.0,1.822034,6.163492e-08,0.0,0.0,0.0003476902,7.9624835e-05,5.057115899908492
58.0,1343.1761,0.00053755176,1.8142407,2.466135e-08,0.0,0.0,0.0,4.74567e-05,5.057144670078901
59.0,1343.178,0.0,1.8006773,2.0573733e-08,6.66325e-05,0.0,0.00019756638,6.273868e-05,5.057196898892182
60.0,1343.1936,0.0010310833,1.7908732,2.8679676e-08,0.0,0.0,0.0010762763,6.0257793e-05,5.057226669944251
61.0,1343.2079,0.0012922902,1.7743244,0.0,0.000118859396,0.0,0.00059050875,5.6537072e-05,5.057289824464074
62.0,1343.2207,0.00019061334,1.7621124,0.0,0.0,0.0,0.0,3.2246353e-05,5.057342261001662
63.0,1343.241,0.0005793532,1.7486589,3.0815205e-08,9.945635e-05,0.0,0.0,3.0790652e-05,5.057391491502692
64.0,1343.2477,0.0005746708,1.7416189,4.4736638e-08,0.0,0.0,0.0016804698,4.0610776e-05,5.057411657819805
65.0,1343.2548,0.00020087758,1.7255937,2.2443588e-08,5.6732162e-05,0.0,0.0,4.3523163e-05,5.0574796640686746
66.0,1343.2743,0.0007215185,1.7115288,0.0,0.00014967062,0.0,0.0002577572,4.432968e-05,5.057529716008989
67.0,1343.2834,0.0007189283,1.6984558,0.0,0.0,0.0,0.0011427619,4.0397925e-05,5.057575614703856
68.0,1343.3029,0.0002689844,1.6847094,0.0,0.0,0.0,0.0,1.3168569e-05,5.057633489250691
69.0,1343.311,0.0,1.6657909,0.0,0.0,0.0,0.0,9.869873e-06,5.057705692654876
70.0,1343.3182,2.5636951e-05,1.6652123,2.841226e-08,0.0,0.0,0.0,0.0,5.057707842779951
71.0,1343.3278,0.00010949758,1.6503944,1.5836017e-08,2.035867e-05,0.0,0.0,0.0,5.057763293410855
72.0,1343.3489,0.0,1.6344644,0.0,0.0,0.0,4.2922507e-05,2.5521767e-05,5.057823449846745
73.0,1343.3676,0.00089718995,1.6262028,3.5495784e-08,0.0,0.0,0.0,1.0802895e-05,5.057851445489876
74.0,1343.3737,0.0003671107,1.6118143,0.0,0.0,0.0,0.0,2.4719278e-05,5.0579075229945305
75.0,1343.3815,0.0006344323,1.602463,0.0,0.0,0.0,0.0,0.0,5.057941811966352
76.0,1343.3943,0.00016891872,1.5956081,0.0,0.0,0.0,0.0,0.0,5.057969398450767
77.0,1343.413,0.0,1.5807927,2.2652845e-08,0.00020425045,0.0,0.0,2.0130561e-05,5.058025756151302
78.0,1343.4186,0.0,1.5666623,4.8508086e-09,9.09653e-05,0.0,0.00016664669,0.0,5.0580783694528515
79.0,1343.4271,0.0,1.5520954,8.151437e-09,0.00017821159,0.0,0.00012505507,0.0,5.058133345225678
80.0,1343.4357,0.0,1.5503739,0.0,0.00017042801,0.0,0.0006074283,0.0,5.058138042413689
81.0,1343.4568,0.00029894288,1.5426668,0.0,0.0,0.0,8.994794e-05,0.0,5.058167940101526
82.0,1343.4635,0.0011998737,1.5250107,1.785184e-09,0.00013703146,0.0,0.00068730226,3.459181e-05,5.058228604402619
83.0,1343.4746,0.0009045367,1.512593,0.0,0.0001399425,0.0,0.00071877893,3.186803e-05,5.058276354797501
84.0,1343.4905,0.0,1.4948093,0.0,8.646833e-05,0.0,0.0,1.3628988e-05,5.0583494775958435
85.0,1343.4934,0.0,1.4852597,6.0524883e-09,0.0001356583,0.0,0.0,0.0,5.058385456383781
86.0,1343.5042,0.00027813512,1.4793788,2.1485214e-09,7.1812924e-06,0.0,0.0,0.0,5.0584065723967155
87.0,1343.5186,0.00024024498,1.4599947,4.684935e-10,0.0,0.0,0.0005625166,2.1992008e-05,5.058477479154701
88.0,1343.529,0.0,1.4540284,0.0,5.9309525e-05,0.0,0.0,1.9258894e-05,5.058502990808335
89.0,1343.5381,0.00059643405,1.4405091,0.0,0.0,0.0,0.0,4.5114434e-06,5.058551686241221
90.0,1343.5459,0.0005723244,1.4320482,0.0,0.0,0.0,3.3544715e-05,1.1177669e-05,5.058583479116907
91.0,1343.5624,0.00042240357,1.4291763,0.0,0.0,0.0,0.0001584518,0.0,5.058594482578153
92.0,1343.5696,0.0005413743,1.41373,3.0031323e-08,0.0,0.0,0.0007408592,0.0,5.0586499681395445
93.0,1343.5779,0.0,1.4021401,2.9930597e-08,0.0,0.0,0.0,2.4252546e-05,5.058698323562979
94.0,1343.5885,0.0008644266,1.3843516,9.3905435e-09,5.097112e-05,0.0,0.0,0.0,5.0587621112683765
95.0,1343.6077,0.0,1.3862839,0.0,1.8566387e-05,0.0,0.0,2.169392e-06,5.058758161136142
96.0,1343.6099,0.0006595152,1.3751395,0.0,0.0,0.0,0.00033772993,0.0,5.0587963432760334
