week,S,I,D,C,A,W,P,V,R_t
0.0,4174.672,4.1917725,0.0,0.0,4.1960444,0.0005370589,0.0,6.8883624,9.446019974137355
1.0,4191.6636,4.07959,0.13292474,0.0,4.1960444,0.04265775,0.0,17.347273,9.422984291380391
2.0,4214.617,3.877264,0.31380486,0.0,4.1960444,0.083274744,0.0,51.24238,9.349009245615498
3.0,4133.437,3.8382638,0.4167134,0.0,4.1960444,0.11818222,0.0,67.90951,9.3095407555986
4.0,4101.5605,3.6948097,0.48856154,0.0,4.1960444,0.14638136,0.0,79.102264,9.283680700251109
5.0,4105.0737,3.554462,0.6336037,0.0,4.1960444,0.17408037,0.0,77.61444,9.287452902875115
6.0,4084.2776,3.4717526,0.74795115,0.0,4.1960444,0.19612549,0.0,72.23371,9.298673607205377
7.0,4064.56,3.3593109,0.83485514,0.0,4.1960444,0.21669105,0.0,84.97449,9.269563433582427
8.0,4062.0615,3.2119603,0.90746105,0.0,4.1960444,0.23371258,0.0,190.25334,9.040663474831648
9.0,4047.9973,3.1475005,1.1196215,0.0,4.1960444,0.24755943,0.0,152.40573,9.120650020735233
10.0,4017.2524,3.079719,1.137287,0.0,4.1960444,0.26115942,0.0,228.98135,8.953995309190017
11.0,3982.0205,2.957736,1.2668799,0.0,4.1960444,0.27243128,0.0,237.74316,8.931304126064617
12.0,3953.528,2.908803,1.3758087,0.0,4.1960444,0.28516555,0.0,228.19814,8.948023881814512
13.0,3997.4814,2.768162,1.453401,0.0,4.1960444,0.29156408,0.0,228.17053,8.953909915906324
14.0,3984.2476,2.7398908,1.5648307,0.0,4.1960444,0.29855582,0.0,260.05396,8.88517742924105
15.0,3938.1863,2.6134706,1.6004899,0.0,4.1960444,0.3012118,0.0,292.34735,8.811255038137405
16.0,3910.803,2.5681133,1.6704707,0.0,4.1960444,0.3060148,0.0,274.1937,8.845137618645174
17.0,3885.75,2.4508703,1.7969542,0.0,4.1960444,0.30684224,0.0,339.04773,8.706053750964514
18.0,3916.385,2.4165103,1.9154631,0.0,4.1960444,0.31453767,0.0,278.3466,8.83755793195581
19.0,3863.7124,2.3129604,1.9210254,0.0,4.1960444,0.31300616,0.0,302.05508,8.779440975872381
20.0,3826.9402,2.2508013,1.9718969,0.0,4.1960444,0.31562543,0.0,339.03564,8.695579491868866
21.0,3824.8635,2.1911666,2.0467565,0.0,4.1960444,0.316448,0.0,418.06635,8.53359361058593
22.0,3791.0403,2.1508598,2.1275122,0.0,4.1960444,0.31922653,0.0,368.43936,8.627647008375686
23.0,3798.8423,2.0654392,2.1877859,0.0,4.1960444,0.31935158,0.0,438.44608,8.487056787474186
24.0,3758.3687,1.9737723,2.3425133,0.0,4.1960444,0.31788918,0.0,415.10703,8.525013623230926
25.0,3750.8704,1.8801425,2.3716154,0.0,4.1960444,0.3181519,0.0,438.56863,8.475823598725999
26.0,3757.4575,1.8534685,2.4841788,0.0,4.1960444,0.3172209,0.0,426.73465,8.501394288948939
27.0,3711.9219,1.8191787,2.4726474,0.0,4.1960444,0.31549877,0.0,429.28778,8.48547960848476
28.0,3743.682,1.7569071,2.571924,0.0,4.1960444,0.31482527,0.0,485.84406,8.379759770803291
29.0,3687.5542,1.7012348,2.556432,0.0,4.1960444,0.3124567,0.0,496.94717,8.342922764754695
30.0,3672.7249,1.6734415,2.662974,0.0,4.1960444,0.31040397,0.0,487.5211,8.357805260840639
31.0,3681.1245,1.5589566,2.6771657,0.0,4.1960444,0.30893138,0.0,549.03564,8.238884353098388
32.0,3664.413,1.5439498,2.7153475,0.0,4.1960444,0.30942282,0.0,558.91034,8.214769457327689
33.0,3649.3127,1.4878722,2.7418368,0.0,4.1960444,0.3045123,0.0,499.80206,8.327147289892185
34.0,3656.7139,1.4715396,2.831555,0.0,4.1960444,0.3024729,0.0,593.3266,8.146185664400008
35.0,3598.4707,1.3893714,2.8633463,0.0,4.1960444,0.30060416,0.0,582.548,8.148754424683128
36.0,3613.9973,1.3873093,2.942542,0.0,4.1960444,0.2982862,0.0,633.55383,8.055896181510407
37.0,3585.9224,1.4152644,2.8944917,0.0,4.1960444,0.29912782,0.0,609.16614,8.093090331724902
38.0,3575.759,1.3439484,2.9804528,0.0,4.1960444,0.29534754,0.0,665.2379,7.983043399703886
39.0,3543.26,1.2371812,3.0177817,0.0,4.1960444,0.29436803,0.0,673.4821,7.956130698538396
40.0,3542.407,1.242095,3.1022687,0.0,4.1960444,0.29014432,0.0,651.8332,7.996824812201355
41.0,3522.2246,1.211976,3.1456332,0.0,4.1960444,0.28829062,0.0,674.1266,7.9473261797800125
42.0,3483.1855,1.2348902,3.1800194,0.0,4.1960444,0.2874466,0.0,699.38104,7.885066233043997
43.0,3496.8533,1.1434535,3.1682074,0.0,4.1960444,0.28421846,0.0,676.96246,7.932755316272668
44.0,3484.6194,1.0958604,3.3044658,0.0,4.1960444,0.2825395,0.0,705.71124,7.873976085627274
45.0,3457.294,1.079633,3.277575,0.0,4.1960444,0.28006384,0.0,752.57184,7.776054641239401
46.0,3425.346,1.0642809,3.2941346,0.0,4.1960444,0.27931827,0.0,772.36633,7.726503988387489
47.0,3425.4602,0.9928004,3.2960417,0.0,4.1960444,0.2764393,0.0,769.6566,7.7316677433298215
48.0,3387.4768,0.9893595,3.38809,0.0,4.1960444,0.2754967,0.0,804.47107,7.6517138814807675
49.0,3373.103,0.990368,3.3720098,0.0,4.1960444,0.27254757,0.0,778.7145,7.692797932092353
50.0,3355.068,0.88177437,3.467406,0.0,4.1960444,0.2694664,0.0,826.28143,7.597888802531327
51.0,3361.6077,0.9534944,3.4874423,0.0,4.1960444,0.26838765,0.0,841.0231,7.574066679580586
52.0,3382.638,0.8597983,3.5412366,0.0,4.1960444,0.26493132,0.0,836.1401,7.592483219265736
