week,S,I,R,E,H,C,Q,P,V,R_t
0.0,3558.2246,3.5090613,1.0713946,18.39557,0.0,0.0,0.20891942,0.0,0.09329266,8.874169607950073
1.0,3521.9072,11.461031,2.4245188,22.938839,0.0,0.0,0.0,0.0,22.973957,8.783097338926602
2.0,3466.4463,21.650095,5.3942833,37.997757,0.0,0.0,1.1018312,0.0,45.366505,8.653843847266254
3.0,3388.277,39.825806,15.124194,67.489685,0.0,0.0,2.090921,0.0,67.32486,8.453556882813544
4.0,3276.489,70.71168,30.310066,121.864044,0.60985804,0.0,3.7178073,0.0,88.59383,8.146972168391377
5.0,3078.3994,119.88835,50.960842,207.9139,4.086573,0.0,6.761451,0.0,109.50985,7.686037844421396
6.0,2803.9392,194.3304,94.17358,337.64703,19.245312,0.0,11.503929,0.0,128.46518,6.977790727683614
7.0,2398.7175,301.91696,151.51736,507.68854,45.16189,0.0,19.308325,0.0,145.28673,6.002325555257273
8.0,1896.8301,449.03613,267.35205,693.7247,84.72732,0.0,31.17002,0.0,159.24821,4.729898105086915
9.0,1351.5709,618.7413,403.88358,843.8904,138.6548,0.0,47.764866,0.0,169.58368,3.3777934058436117
10.0,865.25586,769.86,596.74396,887.8018,207.85759,0.0,68.578735,0.0,176.5041,2.1633140581886243
11.0,502.89844,861.51654,843.2728,813.8085,288.69397,0.0,92.84291,0.0,180.91376,1.253367371790602
12.0,268.24243,873.5366,1090.8734,666.7264,373.62863,0.0,116.525185,0.0,183.31296,0.6706144284513963
13.0,154.37709,815.6574,1343.8628,499.93155,452.27148,0.0,137.59976,0.0,184.70422,0.38427413036327157
14.0,85.702255,711.31244,1576.6082,353.83112,518.89197,0.0,154.7937,0.0,185.70865,0.2134218647546052
15.0,52.0865,590.05676,1780.6937,240.32402,570.93225,0.0,165.64641,0.0,185.98027,0.1297503272872693
16.0,30.674078,470.0942,1960.8196,159.86835,604.37646,0.0,171.99237,0.0,186.2154,0.07644661900554996
17.0,11.806012,363.87836,2108.3762,104.91901,625.1883,0.0,172.99358,0.0,186.25322,0.02951069753445945
18.0,15.861883,275.27576,2232.7803,68.68048,632.8396,0.0,171.47432,0.0,186.13148,0.0395423336649172
19.0,7.461995,206.2691,2329.8606,44.01837,630.80426,0.0,166.7001,0.0,186.38167,0.018662269111317034
20.0,13.493303,149.67159,2426.7642,29.757538,622.12634,0.0,159.25905,0.0,186.51704,0.03359504775968681
21.0,11.88394,111.81457,2504.6235,18.659006,604.16644,0.0,151.67264,0.0,186.75655,0.029571739601218748
22.0,0.0,86.57984,2571.5874,13.579159,574.82806,0.0,144.06407,0.0,186.43066,0.0
23.0,0.8236713,69.23429,2627.8816,7.829064,545.25775,0.0,135.35724,0.0,186.53821,0.002059159925914172
24.0,0.0,56.862434,2682.2795,5.701906,515.3556,0.0,127.33839,0.0,186.68683,0.0
25.0,0.0,43.00932,2741.7046,3.4019933,485.20584,0.0,118.94476,0.0,186.35191,0.0
26.0,0.0,33.161366,2782.7554,3.1589317,457.1902,0.0,111.23066,0.0,186.42935,0.0
27.0,3.717657,26.1039,2833.146,4.3716807,428.55557,0.0,103.4414,0.0,186.53726,0.009260491438392237
28.0,8.107387,19.517303,2881.6545,0.61445016,401.31445,0.0,96.42625,0.0,186.44237,0.0201489863251204
29.0,2.8800275,15.4586115,2909.2275,1.4896605,374.71036,0.0,89.52558,0.0,186.64015,0.007185906093455526
30.0,1.1372017,13.383402,2946.7705,1.3191077,348.3497,0.0,83.104935,0.0,186.60954,0.002836823548608126
31.0,0.0,9.314509,2980.7668,0.4926572,323.0018,0.0,77.070404,0.0,186.5433,0.0
32.0,0.0,7.904156,3015.8164,1.577967,298.05072,0.0,71.56704,0.0,186.62407,0.0
33.0,0.0,5.491972,3038.7134,0.46609533,277.52237,0.0,65.8448,0.0,186.7139,0.0
34.0,0.0,3.137484,3066.8477,0.0,255.47676,0.0,60.931282,0.0,186.68475,0.0
35.0,0.0,5.4970436,3105.9954,0.03142428,232.12517,0.0,56.23323,0.0,186.49799,0.0
36.0,5.3304186,1.9539781,3121.3394,0.0,212.8226,0.0,52.05076,0.0,186.56697,0.0132993428137848
37.0,0.0,1.7196819,3148.336,0.39388737,192.45958,0.0,48.49408,0.0,186.60466,0.0
38.0,4.2234282,1.8139646,3170.5742,0.0,174.05508,0.0,44.563236,0.0,186.67209,0.010532005694624999
39.0,3.1836574,2.8240838,3187.1448,0.0,158.48735,0.0,41.06371,0.0,186.82436,0.007944384188036517
40.0,0.0,1.8044386,3216.9375,0.0,143.02974,0.0,38.23187,0.0,186.42276,0.0
41.0,0.0,0.25623548,3233.1653,0.5882322,128.50745,0.0,34.752968,0.0,186.59746,0.0
42.0,0.0,1.4958984,3242.9988,0.35673097,112.03133,0.0,32.090897,0.0,186.8624,0.0
43.0,0.0,0.0,3261.3042,1.1572127,99.65115,0.0,29.595085,0.0,186.624,0.0
44.0,1.3592969,1.0483342,3277.0508,0.9774051,89.957344,0.0,27.564375,0.0,186.67279,0.0033871125204711643
45.0,0.24177411,1.1125544,3292.5679,0.0,79.60397,0.0,25.773298,0.0,186.71078,0.0006022238296187062
46.0,4.158679,1.2316283,3291.2578,0.13428804,71.10845,0.0,23.072706,0.0,186.63017,0.010383028479047486
47.0,2.628736,0.0,3306.3916,0.0,60.795616,0.0,21.28734,0.0,186.56552,0.006563062004071644
48.0,2.4931939,2.307369,3312.7932,1.7160432,53.158176,0.0,19.542665,0.0,186.6496,0.006222934730819619
49.0,0.0,0.53268874,3329.4297,0.27083117,45.486828,0.0,18.424154,0.0,186.52464,0.0
50.0,0.37762257,0.0,3332.2842,0.0,40.506268,0.0,16.969215,0.0,186.64146,0.0009430300654331534
51.0,0.0,0.0,3343.9639,0.0528627,33.46096,0.0,15.655965,0.0,186.77075,0.0
52.0,0.0,0.0,3347.2747,0.0,30.39891,0.0,15.097961,0.0,186.33636,0.0
53.0,0.0,0.7131103,3351.1697,0.49318087,26.322468,0.0,13.70983,0.0,186.60321,0.0
54.0,0.0,0.0,3354.2524,0.0,22.581604,0.0,12.150423,0.0,186.72359,0.0
55.0,0.0,0.0,3365.669,0.0,19.29138,0.0,11.429211,0.0,186.6218,0.0
