week,S,I,W,V,P,C,Q,R,R_t
0.0,3120.159,0.0,0.7353705,0.0,0.0,0.0,0.5525247,0.0,13.932537556358946
1.0,2995.0786,86.49713,0.5494131,25.866411,0.0,0.0,0.98452485,0.0,13.42686800216727
2.0,1545.2941,1314.2789,43.53738,46.06229,0.0,19.637327,16.791302,189.96237,6.875319106359773
3.0,548.0337,1597.3959,177.03746,51.440605,0.0,74.181015,75.7805,741.7083,2.472641473553421
4.0,333.98273,1227.6577,269.49985,53.427517,0.0,130.68411,122.217964,1260.5905,1.4876013767256977
5.0,75.81009,1017.13226,300.4396,54.1802,0.0,167.2752,143.79953,1633.3685,0.3417083816513505
6.0,34.92418,760.1322,300.98254,54.832047,0.0,192.53499,153.21747,1909.4479,0.15673258939588106
7.0,0.0,534.0872,288.92886,54.778606,0.0,206.12604,156.3261,2124.81,0.0
8.0,0.0,374.08612,255.49532,54.784588,0.0,221.61658,155.79933,2324.7476,0.0
9.0,0.0,272.28702,227.15619,54.6283,0.0,220.87614,148.73164,2428.8076,0.0
10.0,4.291841,188.45892,194.44315,54.936928,0.0,225.5125,137.67259,2504.3748,0.019198097254135026
11.0,13.939468,120.04917,164.6696,54.870083,0.0,223.80905,128.8008,2591.5935,0.061998949764866015
12.0,3.4611988,94.08283,138.4619,55.2852,0.0,230.67873,117.28067,2606.5837,0.015521738681808148
13.0,0.0,68.75054,113.483086,54.868187,0.0,229.07416,106.58856,2667.1099,0.0
14.0,8.094854,45.61556,92.56733,55.16201,0.0,224.8722,97.081436,2676.6675,0.03629994167558154
15.0,4.394762,21.749063,76.53546,54.94154,0.0,222.67741,84.21678,2740.6335,0.01957449766701485
16.0,10.921072,24.290651,61.476383,54.73555,0.0,213.9353,79.14164,2719.5166,0.04905179314852585
17.0,0.0,27.654804,51.582424,54.744637,0.0,207.514,69.13881,2774.9895,0.0
18.0,12.864634,12.203969,39.7647,55.306904,0.0,205.5655,63.31228,2765.6833,0.05755132466143599
