week,S,I,P,C,E,Q,D,A,W,R,R_t
0.0,3254.9753,1.3207835,0.0,0.20176853,15.368246,0.0,0.0,3.280508,1.000433,0.0,17.81457570052852
1.0,3230.6785,13.214187,0.0,2.8961992,30.934305,0.0,0.0,2.882876,0.8541933,0.9455101,17.647087442185963
2.0,3152.3782,31.388872,0.0,3.6660619,81.265366,0.4718305,0.0,2.5200627,1.9853437,0.0,17.27128487263048
3.0,2966.102,78.85389,0.0,3.2555537,199.36504,3.5961666,0.0,2.2115526,4.747342,29.966019,16.19300329367788
4.0,2560.0146,187.61913,0.0,9.928486,448.6402,8.983621,0.0,1.9440491,13.671393,55.277687,14.022761904426762
5.0,1830.9404,411.02612,0.0,24.49629,858.57794,19.916748,0.0,1.7033226,31.856163,117.81026,10.05356095843239
6.0,928.3794,749.77,0.0,51.94473,1219.0537,43.417282,0.0,1.4961733,66.305534,272.49768,5.0944055879959835
7.0,322.57834,1070.0459,0.0,94.51439,1206.0618,82.80741,0.0,1.3152136,113.770226,511.14258,1.7583301741238244
8.0,91.64323,1213.1786,0.0,152.40424,896.3344,129.12233,0.0,1.1379662,165.27649,794.39905,0.5010958806312555
9.0,21.44569,1174.2153,0.0,203.75719,596.12225,176.15839,0.0,1.0031859,205.85396,1112.656,0.11700807964633457
10.0,11.348826,1026.8289,0.0,255.34093,373.55582,214.53989,0.0,0.8801745,228.56288,1380.8872,0.062336384644222
11.0,15.375775,855.3637,0.0,297.13635,232.73805,242.84874,0.0,0.77140975,231.9618,1649.9705,0.08366522816492009
12.0,1.7880597,686.4542,0.0,331.10446,147.6009,265.10477,0.0,0.6712924,223.32193,1834.2576,0.009810562362044438
13.0,3.8887405,536.55524,0.0,355.75287,93.507515,278.41953,0.0,0.5969318,203.41997,1986.5725,0.021412992769406426
14.0,19.773434,416.1097,0.0,376.7275,61.802883,284.0055,0.0,0.5236373,179.68407,2123.102,0.10799312998416016
15.0,10.954026,313.1356,0.0,387.0948,39.151012,286.2544,0.0,0.4560759,152.93756,2232.4685,0.060054983724248084
16.0,27.879278,236.58917,0.0,395.1952,29.888475,283.8286,0.0,0.41299537,130.3888,2306.142,0.1523613145630432
17.0,27.713661,182.3834,0.0,400.5339,20.678684,276.90466,0.0,0.3530205,108.44566,2381.1272,0.15100692370251817
18.0,27.585735,136.2488,0.0,404.4302,14.994522,269.52267,0.0,0.309192,88.95984,2402.1592,0.15190032656701616
19.0,33.968674,103.31451,0.0,405.17166,16.909456,261.74683,0.0,0.26119107,71.15849,2462.4082,0.18542274204452644
20.0,32.60295,79.05904,0.0,404.5833,11.412619,252.4807,0.0,0.23073776,56.49707,2493.164,0.17852484476189825
21.0,53.91706,61.214508,0.0,403.0562,12.271353,242.41869,0.0,0.206618,46.003128,2511.6755,0.29422603568651345
22.0,50.212444,48.765244,0.0,400.52563,12.511246,232.72227,0.0,0.19235462,37.29036,2533.6467,0.27452673705304254
23.0,48.81286,41.126984,0.0,398.45786,6.7162447,223.59981,0.0,0.1702557,28.832748,2564.844,0.2664560565856865
24.0,59.426495,31.126818,0.0,394.75735,6.5266814,214.76363,0.0,0.14567196,23.546015,2567.8962,0.3252929857149414
25.0,53.67863,24.854837,0.0,390.99527,3.7038693,203.64868,0.0,0.10870475,18.800344,2578.0012,0.29560388665132425
26.0,81.00414,22.84347,0.0,388.69437,3.1160913,194.50592,0.0,0.11587682,15.123638,2600.7007,0.4412050203345833
27.0,83.01899,15.800544,0.0,385.18402,4.191034,186.29616,0.0,0.100653976,12.400615,2587.2083,0.4562245925295468
28.0,100.469536,11.60342,0.0,378.68774,6.35092,174.97739,0.0,0.07800565,8.380689,2615.6555,0.5477527409450783
29.0,93.29947,13.226918,0.0,378.1598,3.9726014,166.52594,0.0,0.0771407,8.349853,2616.0742,0.51122553666402
30.0,112.10061,14.698772,0.0,372.20236,2.2497158,158.40259,0.0,0.0716838,6.837763,2626.12,0.6115321822537064
31.0,117.86589,10.575483,0.0,370.2165,2.5947742,150.74557,0.0,0.06518675,5.3117933,2625.046,0.6446971437149657
32.0,127.50402,6.7476377,0.0,363.63556,3.2488744,143.5303,0.0,0.04762446,5.0409727,2632.9358,0.6973003122409142
33.0,122.84861,7.7292337,0.0,359.34897,3.371493,136.5791,0.0,0.050808486,4.6846313,2629.1975,0.6756591510662744
34.0,145.1641,5.9209013,0.0,356.4119,6.0684023,130.646,0.0,0.040679425,2.7473152,2636.335,0.793169828457755
35.0,146.4836,5.258771,0.0,352.78342,1.2283832,124.07254,0.0,0.03295191,2.0734518,2654.328,0.7995020411699754
36.0,161.36032,3.9031298,0.0,348.9613,3.746165,116.784004,0.0,0.02687,1.9276309,2633.6213,0.8849518920708942
37.0,179.18741,2.6463368,0.0,343.47717,0.0,111.4762,0.0,0.02592512,1.0968883,2634.912,0.9817235448710168
38.0,182.20828,6.754512,0.0,341.07443,0.0,106.1318,0.0,0.028362023,1.7060809,2642.5737,0.9961289100010369
39.0,181.2179,3.4047763,0.0,339.73642,5.09375,100.211334,0.0,0.011060367,0.3049648,2652.7942,0.9895982619557167
40.0,191.79544,2.5397875,0.0,334.2445,0.3882451,96.95923,0.0,0.015775219,1.2041683,2646.603,1.0505362635673232
41.0,215.69406,3.365915,0.0,330.25827,5.841008,90.55642,0.0,0.01223369,1.3321857,2639.674,1.1768150234978438
42.0,205.7382,0.0,0.0,327.03522,0.29587722,85.890274,0.0,0.007520199,1.7568574,2643.3928,1.1304246125973019
43.0,216.37941,3.694208,0.0,320.06967,0.47997534,80.857,0.0,0.025892451,1.3788636,2651.5486,1.1850077577926064
44.0,231.37216,8.893839,0.0,318.799,1.0787145,77.27539,0.0,0.020678781,0.8460161,2631.2937,1.2687910945416974
45.0,253.20023,2.5471642,0.0,314.7466,0.6156672,75.313896,0.0,0.013181147,1.6437883,2631.8342,1.3844515785926996
46.0,258.03223,1.4318461,0.0,311.45154,1.0184909,68.87983,0.0,0.00799387,1.0642284,2644.4043,1.4078850592701682
47.0,274.6186,3.2542307,0.0,306.7608,4.6798315,66.319435,0.0,0.006442188,1.3611431,2643.565,1.4920358539221177
48.0,263.80347,5.075049,0.0,304.89038,3.084217,63.040466,0.0,0.0023103869,0.1815587,2623.6858,1.448920451836017
49.0,289.88535,0.0,0.0,302.90665,2.8729234,60.091972,0.0,0.010084205,0.0,2629.5938,1.5816184817717538
