week,S,I,C,P,R,R_t
0.0,3319.9421,3.2072012,0.0,0.0,2.526793,13.948633149624145
1.0,3281.0908,43.33792,1.5102556,0.0,2.3789818,13.77445841466133
2.0,3138.713,147.69537,0.62172717,0.0,35.556805,13.199465572695164
3.0,3027.1238,210.9292,17.399578,0.0,49.41762,12.798434992054068
4.0,2930.0598,234.5955,27.001902,0.0,134.2717,12.309619089106768
5.0,2816.7705,246.57538,50.19888,0.0,202.02556,11.870644869431002
6.0,2725.9004,245.58499,59.124706,0.0,247.71521,11.618204812055343
7.0,2659.2585,251.58731,72.781006,0.0,346.85706,11.15666297741228
8.0,2619.781,246.88126,90.45073,0.0,386.72055,10.947159117435154
9.0,2553.888,244.19774,105.25538,0.0,399.4431,10.80445173913432
10.0,2441.718,242.41168,116.023224,0.0,512.1384,10.30025718594641
11.0,2424.3547,234.46878,134.21419,0.0,571.0894,10.069429374271257
12.0,2283.6284,233.3552,149.93855,0.0,591.9942,9.791141228140107
13.0,2256.244,230.4018,160.60782,0.0,725.07874,9.348389107775471
14.0,2172.8,222.49014,171.35513,0.0,747.6407,9.160324741314861
15.0,2095.355,222.58403,181.87631,0.0,812.88306,8.838057135774369
16.0,2070.9885,223.19804,195.40091,0.0,844.9676,8.678024861820324
17.0,1984.0531,216.50188,202.90414,0.0,949.064,8.269182894324445
18.0,1907.1718,217.36192,223.13747,0.0,1057.4993,7.825859495046672
19.0,1846.8644,211.87297,229.45683,0.0,1049.4287,7.731768298645258
20.0,1768.4916,208.2229,238.79825,0.0,1116.8584,7.41533412590202
21.0,1700.6628,200.36368,247.8668,0.0,1224.9506,7.043269899151398
22.0,1640.592,200.25021,254.58464,0.0,1214.6853,6.925306148273386
23.0,1598.9297,195.92989,266.70175,0.0,1272.3832,6.701192460982676
24.0,1530.0887,193.84077,267.80005,0.0,1348.8248,6.399988061215536
25.0,1516.2568,191.13622,282.28427,0.0,1381.9384,6.2837051546201295
26.0,1392.2462,182.48602,286.1182,0.0,1455.4335,5.866045596299955
27.0,1362.7196,178.51535,292.92886,0.0,1456.9579,5.785536697853232
28.0,1295.3992,173.37637,297.08417,0.0,1579.481,5.410586639387942
29.0,1299.5709,173.57312,306.14154,0.0,1603.1836,5.368429192755415
30.0,1169.599,167.32042,315.19324,0.0,1663.3544,4.92916511707996
31.0,1121.0586,161.62074,315.8992,0.0,1706.9851,4.73875090382627
32.0,1114.0308,160.9035,324.3055,0.0,1732.9542,4.671410111994456
33.0,1067.3604,153.21246,320.3507,0.0,1792.7495,4.473723672503521
34.0,1015.8537,144.2468,334.09726,0.0,1839.1138,4.258300974782782
35.0,996.764,145.47704,330.82227,0.0,1853.4125,4.186866017216114
36.0,913.2779,138.35236,340.5129,0.0,1897.7937,3.8787918427216925
37.0,882.67816,137.05072,339.23035,0.0,1944.5914,3.733382627388893
38.0,865.097,133.74792,346.87436,0.0,2037.9548,3.5723776392060023
39.0,780.09045,127.611496,351.63797,0.0,2003.5288,3.340615203248902
40.0,762.2966,125.041336,348.66592,0.0,2063.4636,3.2282057613036916
41.0,747.2192,118.82236,353.39108,0.0,2069.7056,3.174292780621594
42.0,688.0652,109.800064,352.19278,0.0,2120.0015,2.9400520657745663
43.0,683.2551,105.59749,352.73685,0.0,2163.0,2.888992916288802
44.0,655.8518,108.05296,357.35782,0.0,2209.9973,2.750922105692656
45.0,633.12463,99.6738,362.27347,0.0,2182.4048,2.699172820067315
46.0,605.43634,102.036354,357.74622,0.0,2249.6987,2.551977457733927
47.0,554.5881,94.538,356.7467,0.0,2288.264,2.3523936606061766
48.0,598.58356,85.50578,364.25616,0.0,2360.4136,2.4536327879969817
49.0,571.8479,79.93727,358.29984,0.0,2321.7637,2.398150051671473
50.0,565.63586,74.776855,354.02576,0.0,2367.9421,2.3505589987020197
51.0,478.12637,78.52446,360.01865,0.0,2379.6719,2.0267100093547845
52.0,434.19748,68.44351,361.32556,0.0,2431.837,1.8408020232182738
53.0,424.14798,69.725,361.72287,0.0,2465.827,1.7843265507400183
54.0,440.48434,66.831696,353.57672,0.0,2526.9038,1.8167461351013623
55.0,408.27448,63.712456,343.88757,0.0,2488.4163,1.7264542094678355
56.0,373.3964,60.945988,343.5591,0.0,2530.6648,1.576926201569511
57.0,445.52676,52.12795,350.28793,0.0,2538.8447,1.8380907853591262
58.0,405.8127,52.51738,346.30096,0.0,2590.3433,1.6702067970207595
59.0,401.72397,45.031868,343.978,0.0,2556.5957,1.676912360888792
60.0,364.4214,47.239998,346.54312,0.0,2555.2253,1.5367639626885374
61.0,341.69354,37.238735,340.61652,0.0,2657.4001,1.4138175509185182
62.0,364.08652,38.686737,333.6421,0.0,2604.2573,1.522831193040085
63.0,347.68094,38.339092,335.00513,0.0,2621.115,1.4535745666478217
64.0,295.07678,32.815212,332.05417,0.0,2651.6738,1.2450180123799603
65.0,334.4024,32.59774,325.7313,0.0,2666.9834,1.3907467898436787
66.0,286.0643,29.702269,328.05908,0.0,2695.6877,1.1969101913505877
67.0,305.96533,27.70194,320.15497,0.0,2702.0374,1.273941630780839
68.0,276.55704,29.716124,323.3856,0.0,2695.8127,1.162017252418057
69.0,277.74237,18.35738,317.52167,0.0,2754.7605,1.1521311064931115
70.0,251.52852,17.346325,303.5557,0.0,2752.049,1.057169562991343
71.0,242.96446,26.183493,304.64084,0.0,2757.895,1.0189668792338036
72.0,207.55397,16.366467,300.3914,0.0,2730.1296,0.8911189361523035
73.0,297.9471,15.369956,286.53387,0.0,2792.3774,1.2272560712521798
74.0,300.5774,15.473459,287.5788,0.0,2777.4575,1.2421700012900647
