week,S,I,A,H,C,R_t
0.0,541.00287,0.8800211,0.5423876,0.0,0.55746186,14.720056046865846
1.0,534.39557,6.861535,0.5423876,0.0,0.0,14.572033969584435
2.0,488.61533,52.86408,0.5423876,0.0,0.14753819,13.314597987888952
3.0,293.89084,245.64676,0.5423876,0.0,2.4510584,8.003083982381098
4.0,73.23824,460.95496,0.5423876,0.0,7.441985,1.9956863598446821
5.0,23.59866,503.43707,0.5423876,0.0,14.166078,0.6435599149472682
6.0,7.9228225,511.71445,0.5423876,0.0,22.350866,0.2157504287853328
7.0,2.9835043,509.49194,0.5423876,0.0,29.061844,0.08131290179713851
8.0,0.9891975,504.15097,0.5423876,0.0,36.89633,0.02693494145763955
9.0,0.2146118,497.73053,0.5423876,0.0,43.815132,0.0058466591790225795
10.0,0.0,491.0309,0.5423876,0.0,50.800552,0.0
11.0,0.0,483.2497,0.5423876,0.0,57.438995,0.0
12.0,0.0,477.0549,0.5423876,0.0,64.84707,0.0
13.0,0.17358378,470.03354,0.5423876,0.0,72.28081,0.0047225979403933424
14.0,0.015259157,463.36142,0.5423876,0.0,78.075455,0.00041594083844314706
15.0,0.0,456.86618,0.5423876,0.0,84.83868,0.0
16.0,0.0,450.29294,0.5423876,0.0,91.197655,0.0
17.0,0.0,443.9223,0.5423876,0.0,97.92416,0.0
18.0,0.0,437.6376,0.5423876,0.0,103.775764,0.0
19.0,0.0,431.10507,0.5423876,0.0,110.9995,0.0
20.0,0.28110042,425.22345,0.5423876,0.0,116.29502,0.007657450749162959
21.0,0.1112039,419.21097,0.5423876,0.0,123.03921,0.003026168379106548
22.0,0.0,413.0475,0.5423876,0.0,128.03198,0.0
23.0,0.0,407.92902,0.5423876,0.0,134.08786,0.0
24.0,0.11741263,401.75436,0.5423876,0.0,139.89206,0.003198645682021221
25.0,0.009999878,396.00638,0.5423876,0.0,145.7783,0.0002724089174938545
26.0,0.15395866,390.54022,0.5423876,0.0,151.91145,0.004187760629378175
27.0,0.050424267,384.9148,0.5423876,0.0,157.19754,0.001372687154450429
28.0,0.0,378.86426,0.5423876,0.0,161.94122,0.0
29.0,0.0,374.23724,0.5423876,0.0,167.94284,0.0
30.0,0.05857388,368.32587,0.5423876,0.0,172.58156,0.0015980660332194582
31.0,0.2123482,363.12064,0.5423876,0.0,178.54865,0.0057836976127698505
32.0,0.0,358.44855,0.5423876,0.0,183.18335,0.0
33.0,0.23839618,352.45694,0.5423876,0.0,189.36082,0.006491074435409912
34.0,0.0,347.65125,0.5423876,0.0,194.6061,0.0
35.0,0.0,343.62103,0.5423876,0.0,198.38031,0.0
36.0,0.0,337.8785,0.5423876,0.0,203.037,0.0
37.0,0.052478265,333.6009,0.5423876,0.0,208.13022,0.0014296014567532404
38.0,0.0,328.60358,0.5423876,0.0,213.02635,0.0
39.0,0.0,324.80862,0.5423876,0.0,218.37808,0.0
40.0,0.13661209,318.87286,0.5423876,0.0,222.58244,0.0037228724467928817
41.0,0.007713272,315.58047,0.5423876,0.0,226.91615,0.00020984438433954223
42.0,0.037150785,310.38007,0.5423876,0.0,231.317,0.001012145735187882
43.0,0.06583776,305.75336,0.5423876,0.0,235.67027,0.0017945112152248136
44.0,0.026539821,302.48993,0.5423876,0.0,239.9836,0.0007220381242246163
45.0,0.0,297.46234,0.5423876,0.0,244.35548,0.0
46.0,0.0,292.92493,0.5423876,0.0,248.69997,0.0
47.0,0.0,289.03693,0.5423876,0.0,253.13113,0.0
48.0,0.020958988,284.95065,0.5423876,0.0,256.89505,0.0005708727354318358
49.0,0.21309847,280.66888,0.5423876,0.0,260.89935,0.005805206079083544
50.0,0.10364373,276.37378,0.5423876,0.0,264.5521,0.002827371196859187
51.0,0.0,273.1085,0.5423876,0.0,268.88257,0.0
52.0,0.0,269.07123,0.5423876,0.0,272.82483,0.0
53.0,0.23898408,265.25626,0.5423876,0.0,276.57687,0.006506890395820313
54.0,0.0,260.8994,0.5423876,0.0,280.88135,0.0
55.0,0.03854988,258.12372,0.5423876,0.0,284.08762,0.00104926530031423
56.0,0.0,254.0044,0.5423876,0.0,287.65903,0.0
57.0,0.23146948,250.56819,0.5423876,0.0,291.50174,0.006299626298818928
58.0,0.0,247.0487,0.5423876,0.0,295.62537,0.0
59.0,0.0,243.27443,0.5423876,0.0,298.8406,0.0
60.0,0.06982539,239.85147,0.5423876,0.0,302.26035,0.0019007728927289572
61.0,0.0,236.68109,0.5423876,0.0,305.47253,0.0
62.0,0.1050476,233.38623,0.5423876,0.0,309.08887,0.002857486761799064
63.0,0.0,229.60954,0.5423876,0.0,311.99905,0.0
64.0,0.0,226.77368,0.5423876,0.0,315.6909,0.0
65.0,0.17972451,224.18356,0.5423876,0.0,318.22906,0.0048887255454713365
66.0,0.05119254,220.23405,0.5423876,0.0,321.45038,0.001394699379257361
67.0,0.43390402,216.43343,0.5423876,0.0,324.441,0.011830686196222144
68.0,0.024298502,213.68631,0.5423876,0.0,328.05972,0.0006619506794542111
69.0,0.037873097,210.83951,0.5423876,0.0,331.0792,0.0010314016592752058
70.0,0.0,207.95454,0.5423876,0.0,333.37973,0.0
71.0,0.06529197,205.41406,0.5423876,0.0,336.94366,0.0017765749649583087
72.0,0.057131305,202.1212,0.5423876,0.0,339.82654,0.0015557237941020109
73.0,0.03489387,199.17528,0.5423876,0.0,342.41898,0.0009508419855670453
74.0,0.0,196.26183,0.5423876,0.0,345.84393,0.0
75.0,0.0,193.33066,0.5423876,0.0,348.5105,0.0
76.0,0.14858702,191.09146,0.5423876,0.0,351.09384,0.0040436720216435705
77.0,0.0061834482,188.20651,0.5423876,0.0,353.7833,0.00016838220222188097
78.0,0.14978679,185.66238,0.5423876,0.0,356.31503,0.004077875226288989
79.0,0.0,182.81264,0.5423876,0.0,359.03094,0.0
80.0,0.02502255,180.26147,0.5423876,0.0,361.6155,0.000681510031214097
81.0,0.0,177.56503,0.5423876,0.0,364.65338,0.0
82.0,0.2832454,175.06436,0.5423876,0.0,366.37387,0.007716993632869861
83.0,0.14606929,172.51611,0.5423876,0.0,369.02026,0.003979929952587945
84.0,0.0,169.99489,0.5423876,0.0,371.90408,0.0
